 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | -nan / -nan | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 |
 | Electron trigger eff. | -nan / -nan | 0.00235845 / -0.00235853 | 0.00210432 / -0.00210435 | 0.00189675 / -0.00189682 | 0.00214032 / -0.00214035 | 0.0028798 / -0.00287993 | 0.00193046 / -0.00193047 | 0.00375559 / -0.00375571 | 0.00350967 / -0.00350976 | 0.00230239 / -0.00230244 |
 | Electron reconstruction eff. | -nan / -nan | 0.00125449 / -0.00125444 | 0.0011448 / -0.00114481 | 0.000700207 / -0.000700176 | 0.00110753 / -0.00110753 | 0.00149975 / -0.00149972 | 0.00113157 / -0.00113156 | 0.00114744 / -0.00114747 | 0.00142511 / -0.00142513 | 0.00121119 / -0.00121122 |
 | Electron identification eff. | -nan / -nan | 0.00956775 / -0.00956855 | 0.0090629 / -0.00906358 | 0.00501368 / -0.00501385 | 0.00892374 / -0.00892439 | 0.0119029 / -0.0119041 | 0.0094766 / -0.00947733 | 0.0112191 / -0.01122 | 0.0111027 / -0.0111038 | 0.00796186 / -0.0079624 |
 | Electron isolation eff. | -nan / -nan | 0.0010445 / -0.00104445 | 0.000984644 / -0.000984652 | 0.000673222 / -0.00067319 | 0.000925583 / -0.000925583 | 0.00120684 / -0.00120681 | 0.0010793 / -0.0010793 | 0.00168099 / -0.00168092 | 0.00132901 / -0.00132903 | 0.00101938 / -0.0010194 |
 | #it{t#bar{t}} cross-section | -nan / -nan | 0.0879882 / -0.0889796 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{t#bar{t}+#gamma}) | -nan / -nan | 0 / 0 | 0.185304 / -0.172744 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0.0496232 / -0.0496414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{W+#gamma}) | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0971458 / -0.0971458 | 0 / 0 | 0 / 0 | 0 / 0 |
