 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | -nan / -nan | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 |
 | Electron trigger eff. | -nan / -nan | 0.0022198 / -0.00221981 | 0.00222676 / -0.00222684 | 0.00238828 / -0.00238829 | 0.00217893 / -0.00217898 | 0.00221407 / -0.00221407 | 0.00232973 / -0.00232979 | 0.00342088 / -0.00342092 | 0.00288254 / -0.00288265 | 0.00283436 / -0.00283438 |
 | Electron reconstruction eff. | -nan / -nan | 0.00125433 / -0.0012544 | 0.00126774 / -0.0012678 | 0.00134863 / -0.0013487 | 0.00138378 / -0.0013838 | 0.00134383 / -0.00134381 | 0.00138425 / -0.00138428 | 0.0015531 / -0.00155308 | 0.00146257 / -0.00146264 | 0.00153463 / -0.00153469 |
 | Electron identification eff. | -nan / -nan | 0.00960572 / -0.00960646 | 0.0094932 / -0.00949393 | 0.00986565 / -0.00986652 | 0.0115544 / -0.0115555 | 0.0101546 / -0.0101555 | 0.0105272 / -0.0105282 | 0.0111417 / -0.0111426 | 0.0111021 / -0.0111031 | 0.012194 / -0.0121952 |
 | Electron isolation eff. | -nan / -nan | 0.00110344 / -0.00110342 | 0.00110022 / -0.0011002 | 0.00129606 / -0.00129604 | 0.00129714 / -0.00129716 | 0.00125232 / -0.0012523 | 0.00134975 / -0.00134978 | 0.00147034 / -0.00147041 | 0.00137788 / -0.00137795 | 0.00150418 / -0.00150416 |
 | #it{t#bar{t}} cross-section | -nan / -nan | 0.0879882 / -0.0889796 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{t#bar{t}+#gamma}) | -nan / -nan | 0 / 0 | 0.185304 / -0.172744 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0.0496232 / -0.0496414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{W+#gamma}) | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0971458 / -0.0971458 | 0 / 0 | 0 / 0 | 0 / 0 |
