 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SF(photon ID) | 0.00641941 / -0.0064194 | 0.00858454 / -0.00858453 | 0.0074142 / -0.00741419 | 0.00823649 / -0.00823648 | 0.00800129 / -0.00800128 | 0.00792047 / -0.00792046 | 0.00718947 / -0.00718946 | 0.00835851 / -0.00835849 | 0.00843827 / -0.00843826 | 0.00782835 / -0.00782833 |
 | SF(photon iso.) | -0.000475172 / -0.000475172 | -0.00102936 / -0.00102936 | -0.000883248 / -0.000883248 | -0.0012195 / -0.0012195 | -0.000350407 / -0.000350407 | -0.00148897 / -0.00148897 | -0.00100008 / -0.00100008 | -0.000627195 / -0.000627195 | -0.00158338 / -0.00158338 | -0.00129509 / -0.00129509 |
 | Pile-up | -0.0128873 / 0.00144286 | 0.00121187 / -0.00443896 | -0.00137948 / 0.00377928 | 0.00832017 / 0.00233674 | 0.0263265 / -0.013805 | 0.00474546 / 0.000564566 | -0.00443615 / 0.00179338 | 0.0269538 / -0.013337 | 0.0140744 / -0.00897391 | -0.00331159 / -0.00216126 |
 | JVT | 0.00747764 / -0.00775113 | 0.0072431 / -0.00776193 | 0.00632871 / -0.00721044 | 0.00631907 / -0.00683872 | 0.00862558 / -0.00884056 | 0.00588586 / -0.00670307 | 0.00678555 / -0.0071923 | 0.00680382 / -0.00724165 | 0.00712499 / -0.00745975 | 0.00568022 / -0.00606143 |
 | EGamFake | 0.000233056 / -0.000233056 | 0.0358237 / -0.0358368 | 0.00050013 / -0.000500133 | 0.0386832 / -0.0386983 | 0.0151742 / -0.0151767 | 0.027832 / -0.0278401 | 1.61403e-05 / -1.61403e-05 | 0.000947492 / -0.000947503 | 0.0757326 / -0.0757836 | 0.00543221 / -0.00543254 |
 | JGamFake | 0.000529678 / -0.000529625 | 0.168303 / -0.162186 | 0.00163141 / -0.00163092 | 0.147681 / -0.143037 | 0.117699 / -0.114814 | 0.0898707 / -0.0882255 | 0.000425925 / -0.000425891 | 0.269664 / -0.253006 | 0.0559947 / -0.0553746 | 0.00608521 / -0.00607823 |
 | PDF Unc. NNPDF | -0.00502344 / 0.0050231 | 0 / 0 | 0 / 0 | 0 / 0 | -0.024706 / 0.0246974 | 0 / 0 | 0 / 0 | 0.481775 / -0.463667 | 0.0130253 / -0.0130276 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00740509 / 0.00740519 | -0.00348605 / 0.00348609 | -0.00703153 / 0.00703161 | -0.00693088 / 0.0069309 | -0.00518041 / 0.00518043 | -0.00565126 / 0.00565134 | -0.00557779 / 0.00557782 | -0.0054214 / 0.00542141 | -0.00495809 / 0.00495814 | -0.00399813 / 0.00399824 |
 | c-tag Eigenvar. 2 | 0.00246275 / -0.00246273 | 0.00090964 / -0.000909627 | 0.0019254 / -0.00192539 | 0.00223246 / -0.00223242 | 0.00126949 / -0.00126945 | 0.00152012 / -0.00152009 | 0.00194212 / -0.00194213 | 0.0013678 / -0.00136774 | 0.00147365 / -0.00147364 | 0.00097483 / -0.000974863 |
 | c-tag Eigenvar. 3 | -0.000220159 / 0.00022011 | -0.000232735 / 0.000232747 | -0.000389543 / 0.000389549 | -0.00080377 / 0.000803719 | -0.000285767 / 0.000285804 | 0.000846549 / -0.000846529 | -0.000467624 / 0.000467608 | -0.000756325 / 0.000756286 | -0.000544835 / 0.000544843 | 5.82518e-05 / -5.81677e-05 |
 | c-tag Eigenvar. 4 | -0.000826388 / 0.000826403 | -0.000301226 / 0.000301238 | -0.000658925 / 0.000658929 | -0.000728124 / 0.00072816 | -0.000573841 / 0.000573876 | -0.000397421 / 0.000397444 | -0.00054363 / 0.000543614 | -0.000358018 / 0.000358075 | -0.000356595 / 0.000356604 | -0.000289464 / 0.00028943 |
 | c-tag Eigenvar. 5 | -0.000715843 / 0.000715858 | -0.00031692 / 0.000316932 | -0.000688166 / 0.00068817 | -0.000458467 / 0.000458419 | -0.000719131 / 0.000719165 | -0.000823089 / 0.000823109 | -0.000374034 / 0.000374019 | -0.000439856 / 0.00043982 | -0.000294751 / 0.00029476 | -0.000545817 / 0.000545782 |
 | c-tag Eigenvar. 6 | -0.000451093 / 0.000451112 | -0.000207199 / 0.000207127 | -0.000440734 / 0.000440741 | -0.000263181 / 0.000263135 | -0.000502535 / 0.000502573 | -0.00048207 / 0.000482095 | -0.000126169 / 0.000126155 | -0.000222792 / 0.000222851 | -9.5523e-05 / 9.54605e-05 | -0.000287719 / 0.000287685 |
 | c-tag Eigenvar. 7 | 0.000632604 / -0.000632585 | 0.000217639 / -0.00021771 | 0.000460728 / -0.000460722 | 0.000244322 / -0.000244369 | 0.000190738 / -0.0001907 | 0.00109393 / -0.00109391 | 0.000301362 / -0.000301376 | 1.71838e-05 / -1.7219e-05 | 0.000205344 / -0.000205335 | 0.000353686 / -0.00035372 |
 | c-tag Eigenvar. 8 | 0.000109901 / -0.000109882 | -1.81579e-05 / 1.81703e-05 | 5.36635e-05 / -5.36568e-05 | 0.000112808 / -0.000112768 | 0.000366735 / -0.000366764 | -0.000131079 / 0.000130993 | 0.000149668 / -0.000149682 | 0.000236912 / -0.000236947 | 1.94701e-05 / -1.94606e-05 | 0.000174169 / -0.000174202 |
 | c-tag Eigenvar. 9 | -0.000220934 / 0.000220953 | -6.42408e-05 / 6.42532e-05 | -9.97607e-05 / 9.97673e-05 | 1.62318e-05 / -1.62783e-05 | 0.000249426 / -0.000249455 | -0.000477496 / 0.000477409 | -3.19854e-06 / 3.18445e-06 | 0.000159107 / -0.000159048 | -4.33515e-05 / 4.32891e-05 | 2.60517e-05 / -2.60855e-05 |
 | c-tag Eigenvar. 10 | 0.000648781 / -0.00064883 | 0.000275915 / -0.000275903 | 0.000536361 / -0.000536354 | 0.000369421 / -0.000369381 | 0.000336548 / -0.00033651 | 0.000959715 / -0.000959691 | 0.000300189 / -0.000300203 | 0.000118892 / -0.000118927 | 0.000236863 / -0.000236854 | 0.000346103 / -0.000346137 |
 | c-tag Eigenvar. 11 | 0.00105456 / -0.00105454 | 0.000343862 / -0.00034385 | 0.000755668 / -0.000755661 | 0.000644933 / -0.000644979 | 0.000636861 / -0.000636823 | 0.000961054 / -0.000961029 | 0.000522226 / -0.00052224 | 0.000339745 / -0.00033978 | 0.000329405 / -0.000329395 | 0.000457131 / -0.000457165 |
 | c-tag Eigenvar. 12 | 0.000662363 / -0.000662344 | 0.000286427 / -0.000286414 | 0.000571879 / -0.000571872 | 0.000512465 / -0.000512512 | 0.000546706 / -0.000546736 | 0.000743609 / -0.000743585 | 0.000374636 / -0.00037465 | 0.000166887 / -0.000166829 | 0.000235856 / -0.000235846 | 0.000356886 / -0.00035692 |
 | c-tag Eigenvar. 13 | 0.000628986 / -0.000628967 | 0.000236812 / -0.000236884 | 0.000452093 / -0.000452086 | 0.000476921 / -0.000476881 | 0.000459382 / -0.000459411 | 0.000687491 / -0.000687466 | 0.000388509 / -0.000388523 | 0.000171856 / -0.000171797 | 0.000239742 / -0.000239732 | 0.000333661 / -0.000333695 |
 | c-tag Eigenvar. 14 | -0.000163463 / 0.000163482 | -5.43178e-05 / 5.43302e-05 | -0.000109371 / 0.000109378 | -0.000190012 / 0.000190052 | -0.000185175 / 0.000185213 | -0.000197016 / 0.000196929 | -0.000208627 / 0.000208613 | -8.78056e-05 / 8.77704e-05 | -0.000109987 / 0.000109997 | -0.000146593 / 0.00014656 |
 | c-tag Eigenvar. 15 | -0.000570609 / 0.000570559 | -0.000165657 / 0.000165669 | -0.000385298 / 0.000385305 | -0.000507917 / 0.000507957 | -0.000355444 / 0.000355415 | -0.0005518 / 0.000551825 | -0.000643126 / 0.000643112 | -0.000243696 / 0.000243755 | -0.000393728 / 0.000393737 | -0.000422209 / 0.000422294 |
 | c-tag Eigenvar. 16 | 0.00139277 / -0.00139282 | 0.000312075 / -0.000312147 | 0.000846761 / -0.000846755 | 0.000737955 / -0.000737915 | 0.000371923 / -0.000371952 | 0.00151499 / -0.00151496 | 0.00102459 / -0.00102461 | 0.000567535 / -0.00056757 | 0.000670354 / -0.000670345 | 0.000697436 / -0.00069747 |
 | c-tag Eigenvar. 17 | -0.000861378 / 0.000861397 | -0.000281537 / 0.000281549 | -0.000619369 / 0.000619306 | -0.000584641 / 0.000584681 | -0.000511833 / 0.000511871 | -0.00111053 / 0.00111055 | -0.000455154 / 0.00045514 | -0.000398274 / 0.000398333 | -0.000275065 / 0.000275074 | -0.000332273 / 0.000332239 |
 | c-tag Eigenvar. 18 | 0.00135598 / -0.00135596 | 0.000157596 / -0.000157668 | 0.000450073 / -0.000450066 | 0.000226203 / -0.000226163 | 2.91608e-05 / -2.91902e-05 | 0.00107753 / -0.00107751 | 0.000461002 / -0.000461016 | 0.000248723 / -0.000248664 | 0.000296375 / -0.000296437 | 0.000432485 / -0.000432518 |
 | c-tag Eigenvar. 19 | -0.00435198 / 0.00435193 | -0.00148449 / 0.0014845 | -0.00326951 / 0.00326951 | -0.00235345 / 0.0023534 | -0.00199561 / 0.00199565 | -0.00404754 / 0.00404757 | -0.00186326 / 0.00186324 | -0.00138761 / 0.00138767 | -0.00143248 / 0.00143242 | -0.00169732 / 0.00169728 |
 | c-tag Eigenvar. 20 | -0.00150291 / 0.00150293 | -0.000940741 / 0.000940754 | -0.00176479 / 0.0017648 | -0.0015648 / 0.00156475 | -0.00121986 / 0.0012199 | -0.0018934 / 0.00189342 | -0.00131992 / 0.00131997 | -0.00127166 / 0.00127162 | -0.00132627 / 0.0013262 | -0.00119562 / 0.0011957 |
 | light-tag Eigenvar. 1 | -0.0010687 / 0.00106871 | -0.00214237 / 0.00214236 | -0.00154527 / 0.00154527 | -0.0016508 / 0.00165082 | -0.00188728 / 0.0018873 | -0.00259596 / 0.00259595 | -0.00219268 / 0.00219264 | -0.00160796 / 0.00160791 | 0.00205472 / -0.00205473 | -0.000163273 / 0.000163357 |
 | light-tag Eigenvar. 2 | 0.00141168 / -0.00141168 | 0.00184773 / -0.00184774 | 0.00160706 / -0.00160707 | 0.00188956 / -0.00188963 | 0.00176755 / -0.00176754 | 0.00211319 / -0.0021133 | 0.00209666 / -0.00209664 | 0.00199018 / -0.00199024 | 0.000625999 / -0.000625992 | 0.00138076 / -0.00138081 |
 | light-tag Eigenvar. 3 | -0.000170493 / 0.000170512 | -0.000138579 / 0.000138591 | -0.000141616 / 0.000141623 | -0.000188278 / 0.000188318 | -0.000174057 / 0.000174028 | -0.000186305 / 0.00018633 | -0.000199638 / 0.00019969 | -0.000215668 / 0.000215633 | -0.000133302 / 0.000133312 | -0.000192806 / 0.000192891 |
 | light-tag Eigenvar. 4 | 0.000595814 / -0.000595863 | 0.000729428 / -0.000729416 | 0.000645074 / -0.000645068 | 0.000771765 / -0.000771812 | 0.000725061 / -0.000725023 | 0.000856069 / -0.000856045 | 0.000855184 / -0.000855198 | 0.000823634 / -0.000823575 | 0.000272628 / -0.000272618 | 0.000589607 / -0.000589641 |
 | light-tag Eigenvar. 5 | 0.000726456 / -0.000726505 | 0.000825126 / -0.000825114 | 0.000738605 / -0.000738668 | 0.0009038 / -0.000903759 | 0.000866222 / -0.000866184 | 0.00101159 / -0.00101157 | 0.00100968 / -0.00100969 | 0.000981868 / -0.000981903 | 0.000258379 / -0.00025837 | 0.000703598 / -0.000703632 |
 | light-tag Eigenvar. 6 | 9.39295e-05 / -9.39104e-05 | 0.000122866 / -0.000122854 | 0.000106453 / -0.000106446 | 0.000125119 / -0.000125079 | 0.000118035 / -0.000118064 | 0.000141926 / -0.000141901 | 0.000139963 / -0.000139977 | 0.000131547 / -0.000131582 | 3.62369e-05 / -3.62274e-05 | 8.95642e-05 / -8.9598e-05 |
 | light-tag Eigenvar. 7 | 0.000389477 / -0.000389458 | 0.000483961 / -0.000483949 | 0.000422216 / -0.000422279 | 0.000504663 / -0.000504709 | 0.000482696 / -0.000482725 | 0.000573692 / -0.000573667 | 0.000567363 / -0.000567312 | 0.000539412 / -0.000539448 | 0.00012223 / -0.000122292 | 0.000368261 / -0.000368295 |
 | light-tag Eigenvar. 8 | 0.000104714 / -0.000104695 | 0.000136741 / -0.000136729 | 0.000121148 / -0.000121141 | 0.000142111 / -0.000142157 | 0.000127738 / -0.000127767 | 0.000149736 / -0.000149711 | 0.000153185 / -0.000153134 | 0.000149733 / -0.000149768 | 8.02768e-05 / -8.02673e-05 | 0.000113618 / -0.000113534 |
 | light-tag Eigenvar. 9 | 0.000358284 / -0.000358265 | 0.000408277 / -0.000408265 | 0.000367267 / -0.000367261 | 0.000449786 / -0.000449832 | 0.000424142 / -0.000424172 | 0.000487227 / -0.000487203 | 0.000495782 / -0.000495796 | 0.000491792 / -0.000491734 | 0.000172243 / -0.000172233 | 0.000365417 / -0.000365451 |
 | light-tag Eigenvar. 10 | 2.5469e-05 / -2.54498e-05 | 7.4933e-05 / -7.49206e-05 | 5.56135e-05 / -5.56068e-05 | 5.43769e-05 / -5.44234e-05 | 5.05203e-05 / -5.05497e-05 | 6.73991e-05 / -6.74859e-05 | 6.26505e-05 / -6.25995e-05 | 5.08367e-05 / -5.07781e-05 | -3.84514e-06 / 3.85465e-06 | 1.79941e-05 / -1.79094e-05 |
