 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | b-tag Eigenvar. 13 | 0.00127107 / -0.00127107 | 0.00215707 / -0.00215707 | 0.002303 / -0.002303 | 3.53044e-05 / -3.53044e-05 | 0.0010689 / -0.0010689 | 0.00208565 / -0.00208565 | 4.60417e-05 / -4.60417e-05 | 5.89921e-05 / -5.89921e-05 | 0.00010388 / -0.00010388 | 3.95599e-05 / -3.95599e-05 |
 | b-tag Eigenvar. 14 | -0.000172268 / 0.000172268 | -5.23837e-05 / 5.23837e-05 | 0.000220459 / -0.000220459 | -2.14723e-06 / 2.14723e-06 | 0.000543405 / -0.000543405 | 0.000440815 / -0.000440815 | -1.375e-05 / 1.375e-05 | 5.09127e-06 / -5.09127e-06 | 7.74052e-06 / -7.74052e-06 | 1.7605e-06 / -1.7605e-06 |
 | b-tag Eigenvar. 15 | 0.00105866 / -0.00105866 | 0.00209291 / -0.00209291 | 0.00202025 / -0.00202025 | 6.2266e-05 / -6.2266e-05 | 0.00236091 / -0.00236091 | 0.00181477 / -0.00181477 | 5.30109e-05 / -5.30109e-05 | 0.000124985 / -0.000124985 | 0.000154396 / -0.000154396 | 5.85189e-05 / -5.85189e-05 |
 | b-tag Eigenvar. 16 | -0.000150494 / 0.000150494 | -0.000192483 / 0.000192483 | -4.13299e-05 / 4.13299e-05 | -1.38508e-05 / 1.38508e-05 | 0.00129247 / -0.00129247 | 0.000192243 / -0.000192243 | 1.08701e-05 / -1.08701e-05 | 8.88016e-05 / -8.88016e-05 | -1.687e-05 / 1.687e-05 | -2.47821e-05 / 2.47821e-05 |
 | b-tag Eigenvar. 17 | -0.000835236 / 0.000835236 | -0.00137214 / 0.00137214 | -0.00121357 / 0.00121357 | -4.24597e-05 / 4.24597e-05 | -0.000518234 / 0.000518234 | -0.000795129 / 0.000795129 | -3.96077e-05 / 3.96077e-05 | -4.73097e-05 / 4.73097e-05 | -0.000103439 / 0.000103439 | -4.61109e-05 / 4.61109e-05 |
 | b-tag Eigenvar. 18 | 0.00196154 / -0.00196154 | 0.00330318 / -0.00330318 | 0.00292603 / -0.00292603 | 0.000112548 / -0.000112548 | 0.00223067 / -0.00223067 | 0.00182068 / -0.00182068 | 0.00010173 / -0.00010173 | 0.000183667 / -0.000183667 | 0.000275074 / -0.000275074 | 9.39485e-05 / -9.39485e-05 |
 | b-tag Eigenvar. 19 | 0.000169284 / -0.000169284 | 0.00029635 / -0.00029635 | 3.11687e-05 / -3.11687e-05 | -3.67379e-05 / 3.67379e-05 | 0.000417606 / -0.000417606 | -0.00013967 / 0.00013967 | 6.05029e-06 / -6.05029e-06 | -6.68077e-05 / 6.68077e-05 | -0.000142729 / 0.000142729 | 4.48585e-06 / -4.48585e-06 |
 | b-tag Eigenvar. 20 | -0.000119233 / 0.000119233 | -0.000203583 / 0.000203583 | -0.000150391 / 0.000150391 | -6.04843e-06 / 6.04843e-06 | -4.64395e-05 / 4.64395e-05 | 2.81274e-05 / -2.81274e-05 | -7.36703e-06 / 7.36703e-06 | -1.08446e-05 / 1.08446e-05 | -1.18328e-05 / 1.18328e-05 | -3.09774e-06 / 3.09774e-06 |
 | b-tag Eigenvar. 21 | -0.00015104 / 0.00015104 | -0.000314417 / 0.000314417 | -0.000232153 / 0.000232153 | -4.74803e-06 / 4.74803e-06 | 4.96443e-05 / -4.96443e-05 | -0.000207057 / 0.000207057 | -6.58544e-06 / 6.58544e-06 | 1.15417e-06 / -1.15417e-06 | 4.79013e-06 / -4.79013e-06 | 1.43208e-05 / -1.43208e-05 |
 | b-tag Eigenvar. 22 | 0.000727684 / -0.000727684 | 0.0014739 / -0.0014739 | 0.00119338 / -0.00119338 | 1.99596e-05 / -1.99596e-05 | 0.00068935 / -0.00068935 | 0.000937067 / -0.000937067 | 2.29848e-05 / -2.29848e-05 | 8.27845e-06 / -8.27845e-06 | 1.63758e-05 / -1.63758e-05 | 1.81126e-05 / -1.81126e-05 |
 | b-tag Eigenvar. 23 | 0.00079123 / -0.00079123 | 0.00159836 / -0.00159836 | 0.00135592 / -0.00135592 | 7.21567e-06 / -7.21567e-06 | 0.00088327 / -0.00088327 | 0.00126641 / -0.00126641 | 1.56248e-05 / -1.56248e-05 | -2.50932e-05 / 2.50932e-05 | -2.08279e-05 / 2.08279e-05 | 2.9251e-05 / -2.9251e-05 |
 | b-tag Eigenvar. 24 | -0.000602279 / 0.000602279 | -0.00107092 / 0.00107092 | -0.00112602 / 0.00112602 | 7.73583e-06 / -7.73583e-06 | -0.00120928 / 0.00120928 | -0.00113418 / 0.00113418 | -3.32707e-07 / 3.32707e-07 | -3.90782e-06 / 3.90782e-06 | 6.22935e-06 / -6.22935e-06 | -6.93356e-05 / 6.93356e-05 |
 | b-tag Eigenvar. 25 | 0.00117722 / -0.00117722 | 0.00210157 / -0.00210157 | 0.0018561 / -0.0018561 | 3.98991e-05 / -3.98991e-05 | 0.00116896 / -0.00116896 | 0.00139695 / -0.00139695 | 3.16474e-05 / -3.16474e-05 | 3.67756e-05 / -3.67756e-05 | 5.47308e-05 / -5.47308e-05 | 4.19298e-05 / -4.19298e-05 |
 | b-tag Eigenvar. 26 | 0.000922759 / -0.000922759 | 0.00154563 / -0.00154563 | 0.00139736 / -0.00139736 | 3.40906e-05 / -3.40906e-05 | 0.000878351 / -0.000878351 | 0.00101639 / -0.00101639 | 2.91724e-05 / -2.91724e-05 | 4.38061e-05 / -4.38061e-05 | 6.1639e-05 / -6.1639e-05 | 3.36353e-05 / -3.36353e-05 |
 | b-tag Eigenvar. 27 | 0.000273237 / -0.000273237 | 0.00042005 / -0.00042005 | 0.000332863 / -0.000332863 | 1.71854e-05 / -1.71854e-05 | 0.000121404 / -0.000121404 | 0.000116489 / -0.000116489 | 1.21076e-05 / -1.21076e-05 | 1.17468e-05 / -1.17468e-05 | 2.7026e-05 / -2.7026e-05 | 5.90777e-06 / -5.90777e-06 |
 | b-tag Eigenvar. 28 | -7.57543e-05 / 7.57543e-05 | 0.000199054 / -0.000199054 | 0.000164396 / -0.000164396 | -1.27238e-05 / 1.27238e-05 | 0.000430004 / -0.000430004 | 0.000308831 / -0.000308831 | -1.08842e-05 / 1.08842e-05 | -1.30944e-05 / 1.30944e-05 | -2.68006e-05 / 2.68006e-05 | 6.14476e-06 / -6.14476e-06 |
 | b-tag Eigenvar. 29 | 0.00016785 / -0.00016785 | 0.000696968 / -0.000696968 | 0.000616869 / -0.000616869 | 9.81647e-06 / -9.81647e-06 | 0.000812116 / -0.000812116 | 0.000616199 / -0.000616199 | -2.22155e-06 / 2.22155e-06 | -5.78263e-06 / 5.78263e-06 | -8.81043e-06 / 8.81043e-06 | 1.89421e-05 / -1.89421e-05 |
 | b-tag Eigenvar. 30 | -0.00110696 / 0.00110696 | -0.00220844 / 0.00220844 | -0.00201105 / 0.00201105 | -5.95383e-05 / 5.95383e-05 | -0.00150151 / 0.00150151 | -0.00153739 / 0.00153739 | -2.51482e-05 / 2.51482e-05 | -2.66868e-05 / 2.66868e-05 | -4.88205e-05 / 4.88205e-05 | -5.46424e-05 / 5.46424e-05 |
 | b-tag Eigenvar. 31 | -0.000611835 / 0.000611835 | -0.000791729 / 0.000791729 | -0.000842854 / 0.000842854 | 8.51607e-06 / -8.51607e-06 | -0.000347426 / 0.000347426 | -0.000577907 / 0.000577907 | -3.84987e-06 / 3.84987e-06 | -3.53286e-06 / 3.53286e-06 | -2.48576e-05 / 2.48576e-05 | 5.55229e-06 / -5.55229e-06 |
 | b-tag Eigenvar. 32 | -6.29222e-05 / 6.29222e-05 | 3.38116e-05 / -3.38116e-05 | -5.08014e-05 / 5.08014e-05 | 8.77615e-06 / -8.77615e-06 | 5.44957e-05 / -5.44957e-05 | 3.10282e-05 / -3.10282e-05 | 7.09241e-06 / -7.09241e-06 | 1.20281e-05 / -1.20281e-05 | 7.30876e-06 / -7.30876e-06 | 9.34408e-06 / -9.34408e-06 |
 | b-tag Eigenvar. 33 | -0.000226258 / 0.000226258 | -0.000450059 / 0.000450059 | -0.000407096 / 0.000407096 | -7.869e-06 / 7.869e-06 | -0.000301675 / 0.000301675 | -0.000344508 / 0.000344508 | -3.7196e-06 / 3.7196e-06 | -8.12615e-06 / 8.12615e-06 | -5.14043e-06 / 5.14043e-06 | -1.31697e-05 / 1.31697e-05 |
 | b-tag Eigenvar. 34 | -0.00146469 / 0.00146469 | -0.00297041 / 0.00297041 | -0.00245837 / 0.00245837 | -3.60444e-05 / 3.60444e-05 | -0.0018436 / 0.0018436 | -0.00186941 / 0.00186941 | -4.78144e-05 / 4.78144e-05 | -3.12801e-05 / 3.12801e-05 | -4.44309e-05 / 4.44309e-05 | -4.93102e-05 / 4.93102e-05 |
 | b-tag Eigenvar. 35 | -0.000147218 / 0.000147218 | -0.000300962 / 0.000300962 | -0.000263562 / 0.000263562 | -5.78835e-06 / 5.78835e-06 | -0.00024521 / 0.00024521 | -0.000168343 / 0.000168343 | -4.43606e-06 / 4.43606e-06 | -6.06386e-06 / 6.06386e-06 | -8.6665e-06 / 8.6665e-06 | -5.82309e-06 / 5.82309e-06 |
 | b-tag Eigenvar. 36 | -0.000200458 / 0.000200458 | -0.000415161 / 0.000415161 | -0.000324569 / 0.000324569 | -3.8811e-06 / 3.8811e-06 | -0.00027196 / 0.00027196 | -0.000295418 / 0.000295418 | -7.62756e-06 / 7.62756e-06 | -8.21989e-06 / 8.21989e-06 | -4.13298e-06 / 4.13298e-06 | -7.83748e-06 / 7.83748e-06 |
 | b-tag Eigenvar. 37 | -0.000350142 / 0.000350142 | -0.000694013 / 0.000694013 | -0.000580856 / 0.000580856 | -8.47585e-06 / 8.47585e-06 | -0.000401128 / 0.000401128 | -0.000505165 / 0.000505165 | -1.19263e-05 / 1.19263e-05 | -1.05634e-05 / 1.05634e-05 | -1.29841e-05 / 1.29841e-05 | -1.22217e-05 / 1.22217e-05 |
 | b-tag Eigenvar. 38 | 7.34528e-05 / -7.34528e-05 | 0.000122109 / -0.000122109 | 0.000127834 / -0.000127834 | 1.4072e-06 / -1.4072e-06 | -8.23271e-07 / 8.23271e-07 | 0.00012441 / -0.00012441 | 1.8818e-06 / -1.8818e-06 | -3.72034e-06 / 3.72034e-06 | 4.57425e-06 / -4.57425e-06 | -4.90881e-07 / 4.90881e-07 |
 | b-tag Eigenvar. 39 | 6.13715e-05 / -6.13715e-05 | 0.000139685 / -0.000139685 | 0.000107985 / -0.000107985 | 5.3951e-06 / -5.3951e-06 | 0.000127333 / -0.000127333 | 8.33533e-05 / -8.33533e-05 | 4.35684e-06 / -4.35684e-06 | 9.7783e-06 / -9.7783e-06 | 1.04031e-05 / -1.04031e-05 | 5.67078e-06 / -5.67078e-06 |
 | b-tag Eigenvar. 40 | -3.7445e-06 / 3.7445e-06 | -4.03026e-06 / 4.03026e-06 | 1.50115e-05 / -1.50115e-05 | -1.28029e-06 / 1.28029e-06 | -2.23825e-06 / 2.23825e-06 | 4.59782e-05 / -4.59782e-05 | -7.23502e-07 / 7.23502e-07 | -2.03301e-06 / 2.03301e-06 | -1.83024e-06 / 1.83024e-06 | -1.354e-07 / 1.354e-07 |
 | b-tag Eigenvar. 41 | -3.18659e-05 / 3.18659e-05 | -6.68477e-05 / 6.68477e-05 | -6.36158e-05 / 6.36158e-05 | -7.60132e-07 / 7.60132e-07 | -5.16278e-05 / 5.16278e-05 | -8.80143e-05 / 8.80143e-05 | -6.5837e-07 / 6.5837e-07 | -5.33163e-07 / 5.33163e-07 | -8.94756e-07 / 8.94756e-07 | -1.08335e-06 / 1.08335e-06 |
 | b-tag Eigenvar. 42 | -0.000138891 / 0.000138891 | -0.000274725 / 0.000274725 | -0.000227486 / 0.000227486 | -3.7944e-06 / 3.7944e-06 | -0.000181267 / 0.000181267 | -0.000187421 / 0.000187421 | -4.63146e-06 / 4.63146e-06 | -6.81378e-06 / 6.81378e-06 | -5.28435e-06 / 5.28435e-06 | -6.29707e-06 / 6.29707e-06 |
 | b-tag Eigenvar. 43 | -1.26947e-07 / 1.26947e-07 | -1.00849e-05 / 1.00849e-05 | 4.9132e-06 / -4.9132e-06 | -5.86745e-07 / 5.86745e-07 | -9.31315e-06 / 9.31315e-06 | 1.77516e-05 / -1.77516e-05 | -6.5837e-07 / 6.5837e-07 | 4.04243e-07 / -4.04243e-07 | -5.34953e-07 / 5.34953e-07 | 1.01587e-07 / -1.01587e-07 |
 | b-tag Eigenvar. 44 | 2.16466e-05 / -2.16466e-05 | 4.08754e-05 / -4.08754e-05 | 3.67402e-05 / -3.67402e-05 | 1.06043e-06 / -1.06043e-06 | 2.16143e-05 / -2.16143e-05 | 2.83505e-05 / -2.83505e-05 | 3.1862e-07 / -3.1862e-07 | 1.15417e-06 / -1.15417e-06 | 8.32299e-07 / -8.32299e-07 | 1.7605e-06 / -1.7605e-06 |
 | b-tag Eigenvar. 45 | -5.57554e-05 / 5.57554e-05 | -0.000101662 / 0.000101662 | -9.0707e-05 / 9.0707e-05 | -1.02021e-06 / 1.02021e-06 | -2.51474e-05 / 2.51474e-05 | -8.57829e-05 / 8.57829e-05 | -1.76562e-06 / 1.76562e-06 | 9.66686e-07 / -9.66686e-07 | -2.04613e-06 / 2.04613e-06 | -4.90881e-07 / 4.90881e-07 |
 | b-tag Eigenvar. 45 | -5.57554e-05 / 5.57554e-05 | -0.000101662 / 0.000101662 | -9.0707e-05 / 9.0707e-05 | -1.02021e-06 / 1.02021e-06 | -2.51474e-05 / 2.51474e-05 | -8.57829e-05 / 8.57829e-05 | -1.76562e-06 / 1.76562e-06 | 9.66686e-07 / -9.66686e-07 | -2.04613e-06 / 2.04613e-06 | -4.90881e-07 / 4.90881e-07 |
 | Muon momentum resolution (ID) | 6.41017e-05 / -6.40826e-05 | 6.20263e-09 / 6.20263e-09 | -4.43942e-05 / 4.44009e-05 | 1.53649e-05 / -1.53246e-05 | -1.47116e-08 / -1.47116e-08 | -0.000208507 / 0.00020842 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon momentum resolution (MS) | 9.56424e-09 / 9.56424e-09 | -4.03026e-06 / 4.04266e-06 | 1.75186e-05 / -1.75119e-05 | 4.52817e-06 / -4.48795e-06 | -1.47116e-08 / -1.47116e-08 | -0.00101257 / 0.0010126 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon momentum scale | 9.56424e-09 / 9.56424e-09 | 5.88713e-05 / -5.89429e-05 | 4.85099e-05 / -4.85032e-05 | 1.58059e-06 / -1.54037e-06 | -1.47116e-08 / -1.47116e-08 | 0.0011139 / -0.00111388 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon Sagitta ResBias | 9.56424e-09 / 9.56424e-09 | 5.88713e-05 / -5.89429e-05 | -5.18508e-06 / 5.19177e-06 | 6.7822e-06 / -6.82868e-06 | -1.47116e-08 / -1.47116e-08 | -0.000200251 / 0.000200276 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Muon Sagitta Rho | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | Met ResoPara | -0.00461312 / 0.004613 | 0.000565357 / -0.000565358 | 0.000881102 / -0.000881106 | -0.00515792 / 0.00515778 | -0.00127857 / 0.00127856 | -0.00697792 / 0.00697766 | -0.00631563 / 0.00631542 | -0.00119262 / 0.00119261 | -0.0138913 / 0.0138903 | -0.0365571 / 0.03655 |
 | Met ResoPerp | -0.00207411 / 0.00207409 | -0.00105607 / 0.00105606 | 0.0016744 / -0.00167442 | -0.00536225 / 0.00536209 | -0.00162169 / 0.00162167 | 0.00423083 / -0.00423092 | -0.00454939 / 0.00454928 | 0.000391385 / -0.000391386 | -0.0312037 / 0.0311984 | -0.0283183 / 0.0283139 |
 | MET Scale | -0.00141834 / 0.00141834 | -0.000772522 / 0.00077253 | -0.00240701 / 0.00240697 | -0.00616802 / 0.0061677 | -0.00372299 / 0.00372286 | -0.00280231 / 0.00280227 | -0.00523826 / 0.00523812 | -0.00494049 / 0.00494037 | -0.0266534 / 0.0266483 | -0.0329045 / 0.0328967 |
 | Electron energy resolution | 0.00304722 / -0.00304728 | 0.000571448 / -0.000571522 | -0.000363904 / 0.000363909 | -0.000667259 / 0.000667295 | 0.00669782 / -0.00669816 | 0.00136728 / -0.00136727 | -0.000295394 / 0.000295379 | 0.00415464 / -0.00415482 | 0.00688789 / -0.00688828 | 0.000908278 / -0.000908318 |
 | Electron energy scale | 0.00381236 / -0.00381263 | 0.00953914 / -0.00954092 | 0.00751098 / -0.00751209 | 0.00498489 / -0.00498534 | 0.0122496 / -0.0122525 | 0.013042 / -0.0130454 | 0.00771442 / -0.00771561 | 0.00699044 / -0.00699135 | 0.0077969 / -0.00779809 | 0.0108775 / -0.0108798 |
 | AF2 Electron energy scale | 0.0012252 / -0.00122525 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | BJES Response | 0.000157217 / -0.000157266 | 0.000933488 / -0.000933483 | -0.00376684 / 0.00376673 | 0.00039378 / -0.000393742 | -0.00375291 / 0.00375282 | -0.0199148 / 0.0199114 | -0.000158288 / 0.000158274 | 4.45487e-05 / -4.44906e-05 | 9.10134e-06 / -9.16326e-06 | 5.99003e-05 / -5.99338e-05 |
 | JES EffectiveNP Detector1 | 0.000429067 / -0.000429049 | 0.000224632 / -0.00022462 | -0.000124074 / 0.00012408 | 0.000605948 / -0.000605997 | 0.00076302 / -0.000763053 | -0.00022519 / 0.000225214 | 0.000811983 / -0.000812001 | 0.000156469 / -0.000156504 | 0.000687494 / -0.000687488 | -0.00099018 / 0.000990258 |
 | JES EffectiveNP Detector2 | -0.000142645 / 0.000142664 | 9.09107e-05 / -9.08983e-05 | 5.78421e-05 / -5.78354e-05 | -9.77625e-06 / 9.72978e-06 | 8.61228e-07 / -8.90651e-07 | -9.91694e-07 / 1.01652e-06 | 4.84516e-05 / -4.84657e-05 | -2.6892e-06 / 2.65402e-06 | 7.94853e-05 / -7.94758e-05 | -0.00019719 / 0.000197156 |
 | JES EffectiveNP Mixed1 | 0.000132903 / -0.000132952 | 0.000312177 / -0.000312249 | 0.000167872 / -0.000167866 | 0.000808412 / -0.000808376 | 0.000810609 / -0.000810643 | -0.000182743 / 0.000182767 | 0.000436204 / -0.000436155 | -0.000282774 / 0.000282831 | 0.00147109 / -0.00147109 | -0.0031331 / 0.003133 |
 | JES EffectiveNP Mixed2 | -0.000711081 / 0.000711096 | 8.77476e-05 / -8.78188e-05 | -0.000202401 / 0.000202338 | -0.000863651 / 0.000863686 | -0.000805798 / 0.000805764 | 0.0012661 / -0.00126608 | -0.000812409 / 0.000812455 | -6.05541e-05 / 6.05191e-05 | -0.00190648 / 0.00190646 | 0.000943532 / -0.000943572 |
 | JES EffectiveNP Mixed3 | 0.000156906 / -0.000156887 | 5.38027e-05 / -5.38739e-05 | 4.70121e-05 / -4.70055e-05 | 0.000379544 / -0.000379505 | 0.000808802 / -0.000808769 | 0.00038281 / -0.000382787 | 0.000268824 / -0.000268838 | -1.22627e-05 / 1.22278e-05 | 0.000937613 / -0.000937609 | -0.00091779 / 0.00091775 |
 | JES EffectiveNP Modelling1 | 0.0173672 / -0.0173704 | 0.0187579 / -0.0187616 | 0.0111934 / -0.0111948 | 0.025434 / -0.025441 | 0.0220606 / -0.0220657 | -0.00633526 / 0.00633486 | 0.0293671 / -0.0293764 | 0.0397722 / -0.0397892 | 0.0290986 / -0.0291076 | 0.032999 / -0.0330106 |
 | JES EffectiveNP Modelling2 | -0.00124689 / 0.0012469 | -0.00117367 / 0.00117367 | -0.000412146 / 0.000412151 | -0.0011681 / 0.00116804 | -0.00209971 / 0.00209966 | -0.000321832 / 0.000321856 | -0.00189542 / 0.00189545 | -0.0021432 / 0.00214314 | -0.0033597 / 0.00335963 | -0.00364321 / 0.00364309 |
 | JES EffectiveNP Modelling3 | 0.000632797 / -0.000632781 | 0.0010673 / -0.00106738 | 0.000248233 / -0.000248227 | -0.000599681 / 0.000599717 | 0.000795248 / -0.000795216 | 0.00128086 / -0.00128085 | 0.00103126 / -0.00103128 | 0.00011498 / -0.000115015 | 0.000905293 / -0.000905291 | 0.00111167 / -0.00111171 |
 | JES EffectiveNP Modelling4 | -7.17942e-05 / 7.17454e-05 | -0.000219859 / 0.000219871 | -2.43831e-05 / 2.43898e-05 | 0.000442496 / -0.000442544 | 1.86284e-07 / -1.4858e-07 | 0.000455845 / -0.000455822 | 1.66212e-05 / -1.65705e-05 | 2.07761e-06 / -2.11256e-06 | 0.000517079 / -0.000517071 | -0.000990887 / 0.000990847 |
 | JES EffectiveNP Stat1 | 0.000520533 / -0.000520516 | 0.000431632 / -0.000431621 | 0.000164897 / -0.000164891 | 0.000588811 / -0.000588859 | 0.00078223 / -0.000782263 | 0.000374609 / -0.000374585 | 0.00105771 / -0.00105774 | 0.000327342 / -0.000327377 | 0.000933895 / -0.000933963 | -0.000598446 / 0.00059841 |
 | JES EffectiveNP Stat2 | -0.00192621 / 0.00192614 | -0.00179049 / 0.00179048 | -0.000479459 / 0.000479464 | -0.00163942 / 0.00163936 | -0.00152409 / 0.00152404 | 0.000222443 / -0.000222419 | -0.00229514 / 0.00229509 | -0.00251791 / 0.00251793 | -0.00388403 / 0.00388394 | -0.00193902 / 0.00193908 |
 | JES EffectiveNP Stat3 | -9.8238e-05 / 9.82569e-05 | 0.000475426 / -0.000475416 | 0.000114781 / -0.000114843 | -0.000410093 / 0.000410046 | 5.32911e-06 / -5.29148e-06 | -0.000369944 / 0.000369967 | 0.000236116 / -0.000236131 | -0.000252362 / 0.000252326 | 0.000394957 / -0.00039502 | 0.000938175 / -0.000938099 |
 | JES EffectiveNP Stat4 | -4.83342e-05 / 4.83532e-05 | -0.000481074 / 0.000481085 | -0.000261261 / 0.000261267 | 0.000940779 / -0.000940831 | -0.000820951 / 0.000820917 | -0.000702635 / 0.000702657 | -0.000520978 / 0.000521026 | -0.000287243 / 0.000287207 | -0.000845752 / 0.000845686 | -0.000920375 / 0.000920454 |
 | JES EffectiveNP Stat5 | -0.000128817 / 0.000128835 | 0.000127815 / -0.000127803 | 0.00017735 / -0.000177344 | -0.000921536 / 0.00092157 | -3.4938e-07 / 3.87083e-07 | -0.000247798 / 0.000247823 | 9.80793e-05 / -9.80934e-05 | 0.000466927 / -0.000466871 | -0.000379751 / 0.00037976 | 0.000912101 / -0.00091214 |
 | JES EffectiveNP Stat6 | -9.68136e-05 / 9.67647e-05 | -1.92905e-05 / 1.93028e-05 | -0.000154583 / 0.000154589 | -6.78352e-06 / 6.73735e-06 | -3.02651e-06 / 3.06421e-06 | 0.000110064 / -0.00011004 | 0.000260284 / -0.000260298 | -8.07983e-05 / 8.07633e-05 | 0.00113133 / -0.00113133 | -0.000854697 / 0.000854777 |
 | JES EtaIntercalibration Modeling | 0.00684958 / -0.00684976 | 0.0080772 / -0.00807755 | 0.00444353 / -0.00444361 | 0.0136739 / -0.0136747 | 0.00294431 / -0.00294437 | -0.0033933 / 0.00339328 | 0.0129548 / -0.0129556 | 0.0150519 / -0.0150529 | 0.0192259 / -0.0192276 | 0.0181253 / -0.0181268 |
 | JES EtaIntercalibration Nonclosure HighE | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | -1.97384e-06 / 2.01406e-06 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | 2.12262e-05 / -2.12403e-05 | 2.92803e-08 / 2.92803e-08 | 3.207e-06 / -3.1975e-06 | 8.77868e-05 / -8.78206e-05 |
 | JES EtaIntercalibration Nonclosure NegEta | -3.87597e-05 / 3.87788e-05 | 0.00017904 / -0.000179028 | 0.000192741 / -0.000192734 | 0.000191266 / -0.000191226 | -2.44039e-06 / 2.47835e-06 | 0.00034721 / -0.000347185 | 5.28806e-05 / -5.28947e-05 | 0.00133293 / -0.00133296 | 0.000382871 / -0.000382862 | 0.000857047 / -0.000857081 |
 | JES EtaIntercalibration Nonclosure PosEta | 0.000155753 / -0.000155734 | -0.000107253 / 0.000107265 | 2.90941e-05 / -2.90874e-05 | -0.000350052 / 0.000350091 | 0.000578421 / -0.000578452 | -2.72513e-05 / 2.72759e-05 | 0.000136447 / -0.000136461 | -0.00017671 / 0.000176675 | 0.000282328 / -0.000282391 | 0.000526724 / -0.00052676 |
 | JES EtaIntercalibration TotalStat | 0.0024111 / -0.00241113 | 0.00272892 / -0.00272896 | 0.00122467 / -0.00122468 | 0.00265316 / -0.00265317 | -0.000284052 / 0.000284089 | -0.00105448 / 0.00105449 | 0.00290929 / -0.0029093 | 0.00305123 / -0.00305133 | 0.00672377 / -0.00672416 | 0.00309775 / -0.00309786 |
 | JES Flavor Composition | 0.0357125 / -0.0357149 | 0.0372919 / -0.0372947 | 0.0253708 / -0.0253718 | 0.0446989 / -0.0447035 | 0.0481852 / -0.0481907 | 0.00743432 / -0.00743435 | 0.0568447 / -0.0568534 | 0.0810514 / -0.081075 | 0.0633896 / -0.0634014 | 0.0655788 / -0.0655918 |
 | JES Flavor Response | -0.0161092 / 0.0161074 | -0.0161699 / 0.0161681 | -0.0122206 / 0.0122196 | -0.0192956 / 0.019293 | -0.0196553 / 0.0196526 | -0.00331129 / 0.00331113 | -0.024648 / 0.0246437 | -0.0388923 / 0.0388813 | -0.0301224 / 0.0301159 | -0.0304288 / 0.0304222 |
 | JER DataVsMC AFII | 9.56424e-09 / 9.56424e-09 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER Effective NP1 | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | -3.12285e-08 / -3.12285e-08 | -1.69066e-08 / -1.69066e-08 |
 | JER Effective NP2 | 9.56424e-09 / 9.56424e-09 | 6.20263e-09 / 6.20263e-09 | -3.14759e-08 / -3.14759e-08 | 2.01091e-08 / 2.01091e-08 | -1.47116e-08 / -1.47116e-08 | 1.24132e-08 / 1.24132e-08 | -7.04349e-09 / -7.04349e-09 | 2.92803e-08 / 2.92803e-08 | 8.46013e-06 / -8.45062e-06 | -1.69066e-08 / -1.69066e-08 |
