 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | b-tag Eigenvar. 12 | -0.000237415 / 0.000237415 | -2.13016e-05 / 2.13016e-05 | 0.000139949 / -0.000139949 | -1.16336e-05 / 1.16336e-05 | -0.000288841 / 0.000288841 | 0.000421377 / -0.000421377 | -0.000132888 / 0.000132888 | -4.16861e-05 / 4.16861e-05 | -0.000172775 / 0.000172775 | -0.000172349 / 0.000172349 |
 | b-tag Eigenvar. 13 | 5.0808e-05 / -5.0808e-05 | 0.0010141 / -0.0010141 | 0.000996753 / -0.000996753 | 0.000661084 / -0.000661084 | 0.000886939 / -0.000886939 | 0.00133109 / -0.00133109 | 0.000128515 / -0.000128515 | -4.67923e-08 / 4.67923e-08 | 0.000559714 / -0.000559714 | 0.000354433 / -0.000354433 |
 | b-tag Eigenvar. 14 | 0.000194654 / -0.000194654 | 0.000542029 / -0.000542029 | 0.000199281 / -0.000199281 | -0.000143529 / 0.000143529 | 0.00135357 / -0.00135357 | -0.000294065 / 0.000294065 | 0.000155972 / -0.000155972 | 0.000202928 / -0.000202928 | 0.000375132 / -0.000375132 | 0.000359052 / -0.000359052 |
 | b-tag Eigenvar. 15 | 0.00134108 / -0.00134108 | 0.0015832 / -0.0015832 | 0.00180197 / -0.00180197 | 1.68346e-05 / -1.68346e-05 | 0.00131813 / -0.00131813 | 0.00356962 / -0.00356962 | 0.000792742 / -0.000792742 | 0.000705211 / -0.000705211 | 0.000601353 / -0.000601353 | 0.00123923 / -0.00123923 |
 | b-tag Eigenvar. 16 | 0.000673638 / -0.000673638 | -0.000713565 / 0.000713565 | 0.000475878 / -0.000475878 | -0.000375467 / 0.000375467 | -0.00150243 / 0.00150243 | -0.00256496 / 0.00256496 | 0.000404336 / -0.000404336 | 0.000358841 / -0.000358841 | -0.000282613 / 0.000282613 | 0.000424271 / -0.000424271 |
 | b-tag Eigenvar. 17 | -0.000424547 / 0.000424547 | -0.00116995 / 0.00116995 | -0.00115675 / 0.00115675 | -0.000563416 / 0.000563416 | -0.000846012 / 0.000846012 | -0.00148209 / 0.00148209 | -0.000326715 / 0.000326715 | -0.000216879 / 0.000216879 | -0.000515185 / 0.000515185 | -0.000693134 / 0.000693134 |
 | b-tag Eigenvar. 18 | 0.00127124 / -0.00127124 | 0.00239287 / -0.00239287 | 0.00223369 / -0.00223369 | 0.00048336 / -0.00048336 | 0.00178753 / -0.00178753 | 0.00302481 / -0.00302481 | 0.00114209 / -0.00114209 | 0.000854564 / -0.000854564 | 0.00103743 / -0.00103743 | 0.00194188 / -0.00194188 |
 | b-tag Eigenvar. 19 | 0.00151219 / -0.00151219 | 0.00217834 / -0.00217834 | 0.00161422 / -0.00161422 | 0.00106236 / -0.00106236 | 0.000990876 / -0.000990876 | 0.00254162 / -0.00254162 | 0.000992022 / -0.000992022 | 0.000561549 / -0.000561549 | 0.000415937 / -0.000415937 | 0.00188831 / -0.00188831 |
 | b-tag Eigenvar. 20 | 0.000264319 / -0.000264319 | 0.000232934 / -0.000232934 | 0.000239649 / -0.000239649 | -7.44059e-06 / 7.44059e-06 | 0.000150864 / -0.000150864 | -1.28411e-05 / 1.28411e-05 | 5.1536e-05 / -5.1536e-05 | 7.78763e-05 / -7.78763e-05 | 6.44164e-05 / -6.44164e-05 | 0.000268532 / -0.000268532 |
 | b-tag Eigenvar. 21 | -2.01854e-05 / 2.01854e-05 | -0.000263903 / 0.000263903 | -0.000187076 / 0.000187076 | -6.15816e-05 / 6.15816e-05 | 0.000656956 / -0.000656956 | 0.00064857 / -0.00064857 | 0.000122936 / -0.000122936 | 2.27812e-05 / -2.27812e-05 | -0.000246941 / 0.000246941 | 0.000370289 / -0.000370289 |
 | b-tag Eigenvar. 22 | -0.0011559 / 0.0011559 | -0.00041621 / 0.00041621 | -0.000548005 / 0.000548005 | -0.00010204 / 0.00010204 | -0.00107012 / 0.00107012 | -0.00154137 / 0.00154137 | -0.000553703 / 0.000553703 | -0.00058996 / 0.00058996 | -0.000214542 / 0.000214542 | -0.00146735 / 0.00146735 |
 | b-tag Eigenvar. 23 | -0.000295838 / 0.000295838 | 0.000713121 / -0.000713121 | 0.000368922 / -0.000368922 | 0.000132546 / -0.000132546 | 0.000609772 / -0.000609772 | -0.000389557 / 0.000389557 | -0.000439237 / 0.000439237 | 0.000577348 / -0.000577348 | 0.000109968 / -0.000109968 | -0.000537878 / 0.000537878 |
 | b-tag Eigenvar. 24 | 1.17705e-05 / -1.17705e-05 | -0.000741208 / 0.000741208 | -0.000388609 / 0.000388609 | -0.000112339 / 0.000112339 | -0.00108899 / 0.00108899 | -0.00054771 / 0.00054771 | -3.18998e-05 / 3.18998e-05 | 6.52908e-05 / -6.52908e-05 | -9.98275e-05 / 9.98275e-05 | -0.000167386 / 0.000167386 |
 | b-tag Eigenvar. 25 | -1.83265e-05 / 1.83265e-05 | 0.0010014 / -0.0010014 | 0.000690642 / -0.000690642 | 0.000311079 / -0.000311079 | 0.000366526 / -0.000366526 | -0.00158405 / 0.00158405 | -0.000384198 / 0.000384198 | 2.49709e-06 / -2.49709e-06 | 0.000313477 / -0.000313477 | -0.000889617 / 0.000889617 |
 | b-tag Eigenvar. 26 | 0.00155805 / -0.00155805 | 0.00226746 / -0.00226746 | 0.00203375 / -0.00203375 | 0.000794597 / -0.000794597 | 0.000976952 / -0.000976952 | 0.003576 / -0.003576 | 0.00146111 / -0.00146111 | 0.000762716 / -0.000762716 | 0.000935936 / -0.000935936 | 0.00173919 / -0.00173919 |
 | b-tag Eigenvar. 27 | -1.76183e-05 / 1.76183e-05 | 0.00039015 / -0.00039015 | 0.000108851 / -0.000108851 | 0.000208462 / -0.000208462 | 0.000503393 / -0.000503393 | 0.000546417 / -0.000546417 | 0.000389103 / -0.000389103 | 0.000277906 / -0.000277906 | 0.000141277 / -0.000141277 | 0.000407725 / -0.000407725 |
 | b-tag Eigenvar. 28 | 0.000175533 / -0.000175533 | 0.000382145 / -0.000382145 | 0.0003663 / -0.0003663 | 0.00012725 / -0.00012725 | 0.000288061 / -0.000288061 | 0.000918349 / -0.000918349 | 0.000204491 / -0.000204491 | -0.000306852 / 0.000306852 | 0.000191641 / -0.000191641 | 0.000210828 / -0.000210828 |
 | b-tag Eigenvar. 29 | -0.00034178 / 0.00034178 | 0.000174231 / -0.000174231 | 9.76114e-06 / -9.76114e-06 | -0.000135511 / 0.000135511 | 0.000155681 / -0.000155681 | -0.000349691 / 0.000349691 | 0.00021239 / -0.00021239 | -0.000243389 / 0.000243389 | 0.000165978 / -0.000165978 | 2.24104e-05 / -2.24104e-05 |
 | b-tag Eigenvar. 30 | 0.000426489 / -0.000426489 | -0.000575881 / 0.000575881 | -0.00045288 / 0.00045288 | 0.000362646 / -0.000362646 | -0.000251424 / 0.000251424 | -0.000658118 / 0.000658118 | 0.000220226 / -0.000220226 | 0.000138996 / -0.000138996 | 0.000213583 / -0.000213583 | 0.000158915 / -0.000158915 |
 | b-tag Eigenvar. 31 | 6.09879e-05 / -6.09879e-05 | -0.000603417 / 0.000603417 | -0.00032885 / 0.00032885 | -4.10581e-05 / 4.10581e-05 | -0.000624939 / 0.000624939 | -0.000679599 / 0.000679599 | 9.71091e-05 / -9.71091e-05 | 5.71906e-05 / -5.71906e-05 | 0.000948125 / -0.000948125 | -5.8458e-05 / 5.8458e-05 |
 | b-tag Eigenvar. 32 | 0.00116174 / -0.00116174 | 0.00110803 / -0.00110803 | 0.00114322 / -0.00114322 | 0.000493291 / -0.000493291 | 0.000860806 / -0.000860806 | 0.000471843 / -0.000471843 | 0.000404712 / -0.000404712 | 0.000300466 / -0.000300466 | 0.000395663 / -0.000395663 | 0.000390903 / -0.000390903 |
 | b-tag Eigenvar. 33 | -0.000356652 / 0.000356652 | -0.000608861 / 0.000608861 | -0.000549957 / 0.000549957 | 0.000121365 / -0.000121365 | -0.000233738 / 0.000233738 | -0.000784846 / 0.000784846 | -0.000787899 / 0.000787899 | -9.61982e-06 / 9.61982e-06 | -0.000107462 / 0.000107462 | -0.000267558 / 0.000267558 |
 | b-tag Eigenvar. 34 | 0.000330621 / -0.000330621 | -0.000597227 / 0.000597227 | -0.000722037 / 0.000722037 | 0.000477696 / -0.000477696 | 5.81448e-05 / -5.81448e-05 | -0.000517506 / 0.000517506 | 0.000148637 / -0.000148637 | 0.000163498 / -0.000163498 | -0.00161684 / 0.00161684 | 9.81772e-05 / -9.81772e-05 |
 | b-tag Eigenvar. 35 | 0.000486329 / -0.000486329 | 0.000585363 / -0.000585363 | 0.00038502 / -0.00038502 | -0.00179557 / 0.00179557 | 0.000865491 / -0.000865491 | 0.000900433 / -0.000900433 | 6.13778e-05 / -6.13778e-05 | 0.000278374 / -0.000278374 | -0.0001747 / 0.0001747 | 0.000319893 / -0.000319893 |
 | b-tag Eigenvar. 36 | -0.000769157 / 0.000769157 | -0.000877718 / 0.000877718 | -0.00095168 / 0.00095168 | -0.00024085 / 0.00024085 | -0.00134841 / 0.00134841 | -0.000322957 / 0.000322957 | -0.000489135 / 0.000489135 | -3.24478e-05 / 3.24478e-05 | -0.000559133 / 0.000559133 | -0.000488171 / 0.000488171 |
 | b-tag Eigenvar. 37 | -0.00166782 / 0.00166782 | -0.00218081 / 0.00218081 | -0.00201538 / 0.00201538 | -0.00120811 / 0.00120811 | -0.00109064 / 0.00109064 | -0.00118286 / 0.00118286 | -0.000744771 / 0.000744771 | -0.000484924 / 0.000484924 | -0.00136066 / 0.00136066 | -0.000824468 / 0.000824468 |
 | b-tag Eigenvar. 38 | 0.000548559 / -0.000548559 | 0.000700206 / -0.000700206 | 0.000593626 / -0.000593626 | 0.00114372 / -0.00114372 | 0.00037616 / -0.00037616 | 0.000457397 / -0.000457397 | 9.44136e-05 / -9.44136e-05 | 0.000473919 / -0.000473919 | -0.000505818 / 0.000505818 | 0.000304175 / -0.000304175 |
 | b-tag Eigenvar. 39 | 0.00140969 / -0.00140969 | 0.00176923 / -0.00176923 | 0.00147781 / -0.00147781 | 0.000834026 / -0.000834026 | 0.00123128 / -0.00123128 | 0.000372974 / -0.000372974 | 0.000974031 / -0.000974031 | 0.00131233 / -0.00131233 | 0.000672824 / -0.000672824 | 0.00121882 / -0.00121882 |
 | b-tag Eigenvar. 40 | 0.000523065 / -0.000523065 | 0.000201234 / -0.000201234 | 0.000567833 / -0.000567833 | -0.000192741 / 0.000192741 | 0.000718989 / -0.000718989 | 0.000525968 / -0.000525968 | -0.000138279 / 0.000138279 | -0.0001334 / 0.0001334 | -0.000135371 / 0.000135371 | -0.000141808 / 0.000141808 |
 | b-tag Eigenvar. 41 | -0.00114493 / 0.00114493 | -0.00110164 / 0.00110164 | -0.00108028 / 0.00108028 | -0.000138232 / 0.000138232 | -0.00122388 / 0.00122388 | -0.000958853 / 0.000958853 | -0.000134142 / 0.000134142 | -8.03799e-05 / 8.03799e-05 | -0.000616362 / 0.000616362 | -0.000207372 / 0.000207372 |
 | b-tag Eigenvar. 42 | -0.00228427 / 0.00228427 | -0.00256792 / 0.00256792 | -0.00224448 / 0.00224448 | -0.000420781 / 0.000420781 | -0.00288173 / 0.00288173 | -0.00208656 / 0.00208656 | -0.000939162 / 0.000939162 | -0.00042849 / 0.00042849 | -0.00133332 / 0.00133332 | -0.0011609 / 0.0011609 |
 | b-tag Eigenvar. 43 | 0.0006053 / -0.0006053 | 0.000347564 / -0.000347564 | 0.000531917 / -0.000531917 | 0.000139682 / -0.000139682 | 0.00168122 / -0.00168122 | 0.000401959 / -0.000401959 | -0.000149374 / 0.000149374 | -9.01732e-06 / 9.01732e-06 | 9.5597e-05 / -9.5597e-05 | 3.2269e-05 / -3.2269e-05 |
 | b-tag Eigenvar. 44 | 0.000453488 / -0.000453488 | 0.000462301 / -0.000462301 | 0.000461731 / -0.000461731 | 0.000659833 / -0.000659833 | -0.0005765 / 0.0005765 | -0.000159738 / 0.000159738 | -9.2455e-05 / 9.2455e-05 | -5.72841e-05 / 5.72841e-05 | 3.91559e-06 / -3.91559e-06 | -6.95869e-06 / 6.95869e-06 |
 | b-tag Eigenvar. 45 | -0.00120069 / 0.00120069 | -0.00132428 / 0.00132428 | -0.00137645 / 0.00137645 | -9.24038e-05 / 9.24038e-05 | -0.00118349 / 0.00118349 | -0.00164137 / 0.00164137 | -0.000420619 / 0.000420619 | -0.000716618 / 0.000716618 | -0.000925217 / 0.000925217 | -0.000161388 / 0.000161388 |
 | b-tag Eigenvar. 45 | -0.00120069 / 0.00120069 | -0.00132428 / 0.00132428 | -0.00137645 / 0.00137645 | -9.24038e-05 / 9.24038e-05 | -0.00118349 / 0.00118349 | -0.00164137 / 0.00164137 | -0.000420619 / 0.000420619 | -0.000716618 / 0.000716618 | -0.000925217 / 0.000925217 | -0.000161388 / 0.000161388 |
 | Muon momentum resolution (ID) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 0.000198183 / -0.000198174 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon momentum resolution (MS) | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 0.000123729 / -0.00012372 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon momentum scale | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 0.000123729 / -0.00012372 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon Sagitta ResBias | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Muon Sagitta Rho | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | Met ResoPara | -0.000345328 / 0.000345328 | 0.00311948 / -0.00311953 | 0.00871183 / -0.00871223 | -0.00581437 / 0.00581419 | -0.000144205 / 0.000144205 | 0.00637179 / -0.00637201 | -0.0183509 / 0.0183491 | 0.0448804 / -0.0448914 | -0.098062 / 0.0980128 | -0.0244729 / 0.0244697 |
 | Met ResoPerp | 0.00225586 / -0.00225589 | 0.00041666 / -0.000416661 | 0.00388996 / -0.00389004 | -0.00116838 / 0.00116837 | -0.00767168 / 0.00767137 | 0.0615161 / -0.061534 | -0.0269543 / 0.0269503 | 0.0471679 / -0.0471787 | -0.0620411 / 0.0620191 | -0.0113708 / 0.0113701 |
 | MET Scale | 0.00094124 / -0.000941252 | 0.00323989 / -0.00323998 | -0.000938858 / 0.000938861 | -0.012384 / 0.0123829 | 5.8537e-09 / 5.82296e-09 | -0.00260274 / 0.00260271 | 0.00767733 / -0.00767774 | -0.00401938 / 0.00401924 | -0.0381438 / 0.0381334 | -0.174042 / 0.173831 |
 | Electron energy resolution | -7.6224e-05 / 7.62185e-05 | -0.000798837 / 0.000798815 | -0.00159292 / 0.00159291 | -0.00271494 / 0.00271486 | 0.0197918 / -0.019795 | -0.00159243 / 0.00159234 | -0.0230749 / 0.0230702 | 0.0113842 / -0.0113854 | -0.00617736 / 0.00617703 | -0.156556 / 0.1563 |
 | Electron energy scale | 0.0103226 / -0.0103247 | 0.0171435 / -0.0171492 | 0.0100179 / -0.0100199 | -0.0165386 / 0.0165331 | -0.0143544 / 0.0143503 | 0.00962446 / -0.00962627 | 0.0342376 / -0.0321236 | 0.0206169 / -0.0206252 | -0.00239537 / 0.00239526 | 0.151302 / -0.151683 |
 | AF2 Electron energy scale | 0.0028616 / -0.0028616 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | BJES Response | 0.00524279 / -0.00524303 | 0.00692843 / -0.00692885 | -0.00131227 / 0.00131226 | -0.00121359 / 0.00121355 | 0.00632495 / -0.00632527 | 0.00831244 / -0.00831301 | 0.00402993 / -0.00403011 | -0.015413 / 0.015411 | 0.0112608 / -0.0112618 | -0.000351476 / 0.000351484 |
 | JES EffectiveNP Detector1 | 0.000637864 / -0.000637873 | -0.00450281 / 0.00450266 | -0.00024956 / 0.000249568 | 0.015435 / -0.0154366 | -0.0129186 / 0.0129176 | -0.000980268 / 0.000980282 | 0.0016138 / -0.00161381 | 7.13565e-06 / -7.09562e-06 | -0.0067875 / 0.00678714 | -0.00035317 / 0.00035311 |
 | JES EffectiveNP Detector2 | 0.000286627 / -0.000286632 | -4.88882e-07 / 4.71706e-07 | -0.000214638 / 0.000214648 | 3.37291e-06 / -3.39472e-06 | 1.37865e-07 / -1.26103e-07 | -1.02183e-06 / 9.48049e-07 | -6.19177e-07 / 6.34554e-07 | -1.80681e-07 / 1.5404e-07 | 2.73332e-05 / -2.73292e-05 | -1.1676e-06 / 1.17641e-06 |
 | JES EffectiveNP Mixed1 | 0.000804849 / -0.000804858 | -0.00719749 / 0.00719713 | -0.000586533 / 0.00058654 | 0.0154412 / -0.0154428 | -0.0129501 / 0.012949 | -0.0114414 / 0.0114406 | 0.00142724 / -0.00142724 | -2.49177e-05 / 2.48912e-05 | -0.00686928 / 0.00686897 | -0.000349883 / 0.000349823 |
 | JES EffectiveNP Mixed2 | -0.000598814 / 0.000598806 | 0.0082374 / -0.0082378 | 0.000558996 / -0.00055905 | -0.0154272 / 0.0154254 | 0.0129196 / -0.0129208 | 0.0145792 / -0.0145808 | 0.00114371 / -0.0011437 | -7.75577e-06 / 7.72932e-06 | 0.00822699 / -0.00822748 | 0.164089 / -0.164291 |
 | JES EffectiveNP Mixed3 | 0.000286308 / -0.000286314 | -0.00118627 / 0.00118624 | -0.000153671 / 0.00015368 | 0.0167147 / -0.0167166 | -0.0129339 / 0.0129328 | 1.78045e-06 / -1.76056e-06 | 0.000751178 / -0.000751166 | -5.12047e-07 / 4.85585e-07 | 2.06511e-05 / -2.07109e-05 | 3.01771e-06 / -3.00896e-06 |
 | JES EffectiveNP Modelling1 | 0.0118132 / -0.0118147 | 0.00660606 / -0.00660654 | -0.0056366 / 0.00563627 | 0.00595212 / -0.00595251 | -0.0271573 / 0.0271496 | -0.0016943 / 0.0016942 | 0.0350452 / -0.0328941 | -0.0281027 / 0.0280944 | 0.0482349 / -0.0482599 | 0.0271798 / -0.0271877 |
 | JES EffectiveNP Modelling2 | -0.000174287 / 0.000174281 | 0.000327447 / -0.000327465 | 0.00121966 / -0.00121966 | -0.0180114 / 0.0180092 | 0.0129351 / -0.0129362 | -0.0086643 / 0.00866382 | -0.00408735 / 0.00408719 | 1.57807e-05 / -1.58071e-05 | -0.0138706 / 0.0138693 | 0.00369911 / -0.00369919 |
 | JES EffectiveNP Modelling3 | -0.000743269 / 0.000743259 | 0.00149052 / -0.00149056 | -0.00147557 / 0.00147556 | 0.0179438 / -0.0179467 | -0.0129179 / 0.0129165 | 0.00958981 / -0.0095906 | 0.000961598 / -0.000961591 | 3.51758e-07 / -3.78166e-07 | 0.00992102 / -0.00992188 | 0.00050137 / -0.000501364 |
 | JES EffectiveNP Modelling4 | 0.000189933 / -0.000189939 | -0.00126335 / 0.00126332 | -0.000416259 / 0.000416267 | 3.42375e-06 / -3.37235e-06 | -0.0129338 / 0.0129327 | -4.55913e-07 / 4.75801e-07 | -3.6663e-06 / 3.68158e-06 | -3.7888e-07 / 4.18914e-07 | 2.81079e-05 / -2.8104e-05 | 2.05893e-06 / -2.05018e-06 |
 | JES EffectiveNP Stat1 | 0.000198463 / -0.000198469 | -0.00356573 / 0.00356573 | -0.00105889 / 0.00105883 | 0.015423 / -0.0154246 | -0.0129322 / 0.012931 | -0.000974584 / 0.000974505 | 0.00128714 / -0.00128719 | 8.133e-06 / -8.15946e-06 | 1.99502e-05 / -1.99463e-05 | 0.000151766 / -0.000151757 |
 | JES EffectiveNP Stat2 | -0.000644468 / 0.000644459 | 0.00451994 / -0.00452009 | 0.00180007 / -0.00180008 | -0.0167457 / 0.0167439 | 0.0129033 / -0.0129044 | 0.00290187 / -0.00290191 | -0.00481617 / 0.00481603 | 5.24889e-05 / -5.25153e-05 | -0.00121652 / 0.00121652 | 0.0095461 / -0.00954669 |
 | JES EffectiveNP Stat3 | -0.0001512 / 0.000151195 | 0.00216269 / -0.00216275 | 7.30008e-07 / -7.208e-07 | 0.00127015 / -0.00127019 | -0.0129101 / 0.0129087 | -1.66386e-06 / 1.68371e-06 | 1.31264e-06 / -1.2974e-06 | -1.30723e-06 / 1.34718e-06 | 0.00991896 / -0.00991982 | 9.50411e-06 / -9.49538e-06 |
 | JES EffectiveNP Stat4 | 0.000272151 / -0.000272157 | -0.00149819 / 0.00149815 | 0.000674735 / -0.00067479 | -0.0167003 / 0.0166984 | 0.0129408 / -0.0129419 | -9.12169e-06 / 9.0484e-06 | 0.000330168 / -0.000330153 | 2.19583e-07 / -2.46046e-07 | 3.13583e-05 / -3.13543e-05 | -0.000895293 / 0.000895296 |
 | JES EffectiveNP Stat5 | -0.000130936 / 0.00013093 | -6.74929e-05 / 6.74758e-05 | 1.10292e-05 / -1.10805e-05 | -0.00127748 / 0.00127752 | 0.0129304 / -0.0129315 | -1.66713e-06 / 1.59384e-06 | -0.000757705 / 0.000757716 | -5.78591e-07 / 6.18626e-07 | 3.77952e-05 / -3.77913e-05 | 0.000543702 / -0.000543695 |
 | JES EffectiveNP Stat6 | -9.72572e-05 / 9.72517e-05 | -0.00514197 / 0.00514178 | 0.000508217 / -0.000508209 | 3.71605e-06 / -3.66464e-06 | -0.0129325 / 0.0129314 | 4.01681e-06 / -3.99693e-06 | 0.000749434 / -0.000749485 | 7.66766e-06 / -7.62763e-06 | 2.09062e-05 / -2.09023e-05 | 3.83952e-06 / -3.83077e-06 |
 | JES EtaIntercalibration Modeling | 0.00417942 / -0.0041795 | -0.00984519 / 0.00984481 | -0.00303926 / 0.00303923 | 0.00712976 / -0.00713 | -0.0252635 / 0.0252613 | -0.0169189 / 0.0169179 | -0.0103766 / 0.0103762 | -0.0387765 / 0.0387721 | -0.0381855 / 0.0381812 | -0.0319798 / 0.0319765 |
 | JES EtaIntercalibration Nonclosure HighE | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JES EtaIntercalibration Nonclosure NegEta | -7.63074e-05 / 7.63019e-05 | -0.000539805 / 0.000539788 | -5.63334e-08 / 6.56228e-08 | -0.00319198 / 0.00319196 | 5.88064e-09 / 5.88064e-09 | 1.03815e-07 / -8.37931e-08 | 1.01067e-06 / -9.95296e-07 | 2.01519e-08 / 2.01519e-08 | -0.0100335 / 0.0100334 | -0.00473807 / 0.00473808 |
 | JES EtaIntercalibration Nonclosure PosEta | 0.000169621 / -0.000169626 | -0.000629632 / 0.000629612 | 6.74836e-05 / -6.74744e-05 | -1.07827e-08 / -1.08821e-08 | 7.13689e-08 / -5.96861e-08 | 9.89829e-09 / 9.98957e-09 | -8.01917e-07 / 8.17192e-07 | 1.99256e-08 / 2.01093e-08 | 0.0151434 / -0.0151449 | 7.284e-08 / -6.40884e-08 |
 | JES EtaIntercalibration TotalStat | 0.000866349 / -0.000866359 | -0.00392551 / 0.00392538 | -0.000882182 / 0.000882125 | 0.0154392 / -0.015441 | -0.00570994 / 0.00570972 | -0.00473297 / 0.00473283 | 0.00415323 / -0.00415334 | -0.0239307 / 0.0239267 | -0.0111711 / 0.0111702 | -0.180137 / 0.179934 |
 | JES Flavor Composition | 0.00990398 / -0.00990408 | 0.00119269 / -0.00119271 | -0.00567242 / 0.00567242 | 0.00648405 / -0.00648411 | -0.0498046 / 0.0498075 | -0.027302 / 0.0273022 | 0.0675638 / -0.0654187 | -0.0553932 / 0.0553974 | -0.0224748 / 0.0224749 | 0.0630897 / -0.0631013 |
 | JES Flavor Response | -0.00658104 / 0.00658074 | 0.0092558 / -0.00925639 | 0.00280318 / -0.00280323 | 0.00410659 / -0.00410665 | 0.0269048 / -0.0269093 | -0.0168201 / 0.0168181 | -0.0185723 / 0.0185699 | 0.0298844 / -0.02989 | 0.00396606 / -0.00396616 | 0.00273539 / -0.00273544 |
 | JER DataVsMC AFII | -2.72659e-09 / -2.72659e-09 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER Effective NP1 | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JER Effective NP2 | -2.68288e-07 / 2.62835e-07 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JER Effective NP3 | -2.68288e-07 / 2.62835e-07 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
 | JER Effective NP4 | -2.72659e-09 / -2.72659e-09 | 4.4778e-08 / 4.4778e-08 | 4.64467e-09 / 4.64467e-09 | -1.09052e-08 / -1.09052e-08 | 5.88064e-09 / 5.88064e-09 | 1.00107e-08 / 1.00107e-08 | 7.68875e-09 / 7.68875e-09 | 2.01519e-08 / 2.01519e-08 | 1.97091e-09 / 1.97091e-09 | 4.4052e-09 / 4.4052e-09 |
