 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SF(photon ID) | 0.0058839 / -0.00588389 | 0.00680543 / -0.00680542 | 0.00573842 / -0.00573841 | 0.0063584 / -0.0063584 | 0.00608031 / -0.00608031 | 0.00647153 / -0.00647151 | 0.0058959 / -0.00589589 | 0.00572382 / -0.00572382 | 0.00660685 / -0.00660685 | 0.00598671 / -0.0059867 |
 | SF(photon iso.) | 3.76892e-05 / 3.76892e-05 | -0.000541659 / -0.000541659 | 3.96715e-05 / 3.96715e-05 | -0.000465558 / -0.000465558 | 0.000367647 / 0.000367647 | -0.000877645 / -0.000877645 | 0.00031138 / 0.00031138 | 0.00162658 / 0.00162658 | -0.000441772 / -0.000441772 | 0.000312363 / 0.000312363 |
 | Pile-up | -0.0119738 / 0.00992818 | 0.00641434 / -0.0060924 | -0.00589398 / 0.00400358 | 0.107286 / -0.0209429 | 0.0887723 / -0.0650284 | -0.0560364 / 0.0198017 | 0.0561949 / -0.00616777 | -0.0574044 / 0.0503633 | -0.0351096 / 0.41704 | 0.0160132 / -0.0190967 |
 | JVT | 0.00485543 / -0.00507176 | 0.00566408 / -0.0059024 | 0.00468047 / -0.00548181 | 0.00603499 / -0.00622245 | 0.00634834 / -0.00652225 | 0.00223484 / -0.00345459 | 0.00273111 / -0.00440108 | 0.00761346 / -0.00761462 | 0.00149354 / -0.00242405 | -0.00616634 / 0.00144481 |
 | EGamFake | 0.000230101 / -0.000230101 | 0.0626658 / -0.0627024 | 0.000735297 / -0.000735304 | 0.0371852 / -0.0371993 | 0.0451429 / -0.045163 | 0.0315409 / -0.0315512 | 0 / 0 | 0 / 0 | 0.0866728 / -0.0867369 | 0.00568699 / -0.00568735 |
 | JGamFake | 7.7958e-05 / -7.79569e-05 | 0.0897361 / -0.088096 | 0.000435091 / -0.000435055 | 0.183357 / -0.176025 | 0.0444631 / -0.0440763 | 0.0675265 / -0.0666154 | 0 / 0 | 0.292055 / -0.272302 | 0.0282574 / -0.0281036 | 0.00891995 / -0.00890492 |
 | PDF Unc. NNPDF | -0.00502314 / 0.0050228 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0204412 / 0.0204353 | 0 / 0 | 0 / 0 | 0.110203 / -0.110344 | -0.000754127 / 0.000754119 | 0 / 0 |
 | c-tag Eigenvar. 1 | -0.00405172 / 0.00405175 | -0.00151106 / 0.00151105 | -0.0038395 / 0.00383953 | 0.0568648 / -0.0568522 | -0.00664304 / 0.00664312 | -0.00375769 / 0.00375773 | 0.0302984 / -0.0302958 | 0.077268 / -0.0772402 | 0.0317013 / -0.0316983 | 0.0238875 / -0.023886 |
 | c-tag Eigenvar. 2 | 0.00213219 / -0.0021322 | 0.000530502 / -0.00053052 | 0.00125762 / -0.00125761 | -0.000419089 / 0.000419067 | 0.00200649 / -0.00200648 | 0.00118034 / -0.00118032 | -0.00604341 / 0.00604337 | 0.00203419 / -0.00203422 | 0.000250281 / -0.000250277 | -0.00193822 / 0.00193823 |
 | c-tag Eigenvar. 3 | 0.000204012 / -0.000204018 | -5.15104e-06 / 5.13398e-06 | -0.000256175 / 0.000256183 | 0.0104893 / -0.0104899 | -0.00159156 / 0.00159155 | -0.000393331 / 0.00039335 | 0.00100884 / -0.00100883 | -0.0161959 / 0.0161942 | 0.00514374 / -0.0051439 | 0.00153897 / -0.00153905 |
