NUISANCE_PARAMETERS
SigXsecOverSM  0.997723 +0.00227728 -0.113707
gamma_stat_VR1_mqph_bin_18  1.00003 +0.0865681 -0.0865681
gamma_stat_VR1_mqph_bin_19  1.00001 +0.0385991 -0.0385991
gamma_stat_VR1_mqph_bin_2  1.00004 +0.0417506 -0.0417506
gamma_stat_VR1_mqph_bin_3  1.00001 +0.0395677 -0.0395677
gamma_stat_VR1_mqph_bin_4  0.999992 +0.0349434 -0.0349434
gamma_stat_VR1_mqph_bin_5  0.999963 +0.0322497 -0.0322497
gamma_stat_VR1_mqph_bin_6  0.999983 +0.0342183 -0.0342183
gamma_stat_VR1_mqph_bin_7  0.999989 +0.0375765 -0.0375765
gamma_stat_VR1_mqph_bin_8  0.999981 +0.0405667 -0.0405667
gamma_stat_VR1_mqph_bin_9  0.999985 +0.0416857 -0.0416857
gamma_stat_VR2_mqph_bin_0  0.99999 +0.0993214 -0.0993214
gamma_stat_VR2_mqph_bin_1  1.00002 +0.031197 -0.031197
gamma_stat_VR2_mqph_bin_10  0.999998 +0.0524692 -0.0524692
gamma_stat_VR2_mqph_bin_11  0.999975 +0.0595907 -0.0595907
gamma_stat_VR2_mqph_bin_12  0.999958 +0.0864651 -0.0864651
gamma_stat_VR2_mqph_bin_13  0.999967 +0.0726219 -0.0726219
gamma_stat_VR2_mqph_bin_14  0.999988 +0.0854951 -0.0854951
gamma_stat_VR2_mqph_bin_15  0.999989 +0.0955872 -0.0955872
gamma_stat_VR2_mqph_bin_16  0.999979 +0.0922828 -0.0922828
gamma_stat_VR2_mqph_bin_17  0.999978 +0.140708 -0.140708
gamma_stat_VR2_mqph_bin_18  0.999993 +0.115863 -0.115863
gamma_stat_VR2_mqph_bin_19  0.999997 +0.061143 -0.061143
gamma_stat_VR2_mqph_bin_2  1 +0.0249811 -0.0249811
gamma_stat_VR2_mqph_bin_3  0.999998 +0.0231789 -0.0231789
gamma_stat_VR2_mqph_bin_4  0.999999 +0.02544 -0.02544
gamma_stat_VR2_mqph_bin_5  0.999988 +0.0261186 -0.0261186
gamma_stat_VR2_mqph_bin_6  0.999981 +0.0312092 -0.0312092
gamma_stat_VR2_mqph_bin_7  0.999995 +0.0329829 -0.0329829
gamma_stat_VR2_mqph_bin_8  0.999989 +0.0393082 -0.0393082
gamma_stat_VR2_mqph_bin_9  0.999994 +0.0447632 -0.0447632
mu_WGam  0.999049 +0.181044 -0.181044
mu_ttgam  0.999804 +0.196098 -0.187171


CORRELATION_MATRIX
132   132
0.0427175   0.226851   0.00608407   0.0117592   0.0064296   0.0274809   0.0202654   0.000950416   0.00381475   0.00026029   0.00240003   0.00219179   0.00722857   0.00970931   0.00482352   0.00636792   0.0197318   0.0214565   0.0175919   0.00249034   -0.0247878   0.00417794   0.0165189   0.0213274   0.0131616   0.0207711   0.0502011   0.0104728   -0.0106067   -0.0455976   -0.013054   -0.0135317   -0.00846318   -0.0212681   0.0214641   0.0209435   -0.0310256   -0.02833   -0.0109349   -0.00975454   -0.0329715   -0.00282882   -0.0267465   0.001907   -0.0334019   0.0366578   -0.0017517   0.000460665   0.0851442   0.000460665   -0.000714133   0.00051048   -0.00673927   0.0999462   -0.00278106   0.00161739   -0.00309856   -0.0528181   -0.111139   -0.0774071   0.000460665   0.000460665   -0.00106182   -0.001452   0.0156447   -0.000310887   -0.244323   0.0116064   1.13488e-06   3.4377e-06   0.00110682   0.00110673   0.00110655   0.00110689   0.00110678   0.00131334   0.00110709   0.00110674   0.00110698   0.00110692   0.00110686   0.0011068   0.00110665   0.00110668   0.0011067   0.00110674   0.0011069   0.00110666   0.00110688   0.0011066   0.00110671   0.00110667   0.00110656   0.00110653   0.00110664   0.00110666   0.00110665   0.00110677   0.00110673   0.00110688   0.0387207   -0.0311222   -0.0798193   -0.285473   0.0078807   0.0233851   0.157308   0.00595696   0.0440285   0.027192   0.0152024   -0.003216   -0.0154199   0.0141902   -0.0122635   0.000778672   0.0683241   0.00366464   7.13457e-05   -0.000574391   -0.000509185   0.00364575   -0.0511417   -0.00150363   0.000629466   0.000789583   -0.00880244   -0.00604862   -0.00384018   -0.0942898   -0.0355555   1   
0.00364853   -0.0380075   0.00400083   0.000699208   0.00133576   -0.00260143   -0.00296357   -0.00129735   -0.000818435   0.00284969   0.0071367   0.000657508   0.00323642   0.00184374   0.00298768   0.00346255   0.000250814   0.00610769   -0.000727065   0.0039226   0.00325841   -0.00182184   0.00104651   0.00236032   -0.00185492   -0.00668605   -0.011709   -0.012534   -0.0109791   0.00802295   0.00751879   0.00532142   0.00108634   0.00699438   -0.00523024   -0.000892288   0.00466922   0.00316862   0.00494134   0.00209993   0.00395244   0.00409186   0.00115918   -0.000792406   -0.00254982   -0.0559054   -0.00827188   -0.000204063   0.0119854   -0.000204063   -0.000466569   -0.00360279   0.000263895   0.0542062   -0.00120447   -0.0113993   -0.0109988   0.00404461   -0.00143241   -0.0122241   -0.000204063   -0.000204063   0.00544994   -0.00210894   -0.00283871   -0.000179844   0.0515838   0.0215087   -1.16636e-06   -1.49046e-05   -9.95939e-05   -9.97064e-05   -9.96321e-05   -9.96565e-05   -9.96274e-05   -0.00124269   -9.96681e-05   -9.96579e-05   -9.96795e-05   -9.95891e-05   -9.96031e-05   -9.97001e-05   -9.96132e-05   -9.97079e-05   -9.96302e-05   -9.96582e-05   -9.96734e-05   -9.96488e-05   -9.96171e-05   -9.96266e-05   -9.96517e-05   -9.9591e-05   -9.96362e-05   -9.96095e-05   -9.96607e-05   -9.96137e-05   -9.96553e-05   -9.96393e-05   -9.97173e-05   -9.96615e-05   0.0128176   -0.00312159   -0.0310896   -0.0118526   0.00107933   0.00301418   0.00918059   0.00174455   -0.000105166   0.0121399   0.00156298   0.000349834   -0.0079133   -0.00667971   -0.00837892   2.08677e-05   0.00154764   0.000458894   1.27238e-05   -7.59145e-05   -2.1725e-05   0.000405009   0.000719106   -0.000141194   0.000368892   0.000107786   0.000384686   -0.000515898   -0.00129097   -0.0107268   1   -0.0355555   
