 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SF(photon ID) | -nan / -nan | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 | -1 / -0.999671 |
 | SF(photon iso.) | -nan / -nan | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 | -0.999995 / -0.999995 |
 | Pile-up | -nan / -nan | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 | -1 / 13.0565 |
 | JVT | -nan / -nan | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 | -0.997668 / -0.957683 |
 | EGamFake | -nan / -nan | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 | -1 / -0.728983 |
 | JGamFake | -nan / -nan | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 | -0.732535 / -1 |
 | PDF Unc. NNPDF | -nan / -nan | 0 / 0 | 0 / 0 | -0.999172 / 0.930358 | -0.999172 / 0.930358 | -0.999172 / 0.930358 | -0.999172 / 0.930358 | -0.999172 / 0.930358 | -0.999172 / 0.930358 | -0.999172 / 0.930358 |
 | c-tag Eigenvar. 1 | -nan / -nan | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 | -2.51168e-08 / -2.49927e-08 |
 | c-tag Eigenvar. 2 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 3 | -nan / -nan | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 | -2.51755e-08 / -2.50114e-08 |
 | c-tag Eigenvar. 4 | -nan / -nan | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 | -2.5149e-08 / -2.50386e-08 |
 | c-tag Eigenvar. 5 | -nan / -nan | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 | -2.50951e-08 / -2.50929e-08 |
 | c-tag Eigenvar. 6 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 7 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | c-tag Eigenvar. 8 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
