 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | b-tag Eigenvar. 15 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 16 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 17 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 18 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 19 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 20 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 21 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 22 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 23 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 24 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 25 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 26 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 27 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 28 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 29 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 30 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 31 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 32 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 33 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 34 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 35 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 36 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 37 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 38 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 39 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 40 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 41 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 42 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 43 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 44 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 45 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | b-tag Eigenvar. 45 | -nan / -nan | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 | -1 / 1 |
 | Muon momentum resolution (ID) | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon momentum resolution (MS) | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon momentum scale | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon Sagitta ResBias | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Muon Sagitta Rho | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | Met ResoPara | -nan / -nan | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 | -0.991695 / 0.872499 |
 | Met ResoPerp | -nan / -nan | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 | -0.999816 / 0.956265 |
 | MET Scale | -nan / -nan | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 | -2.48724e-08 / -2.52614e-08 |
 | Electron energy resolution | -nan / -nan | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 | -2.50514e-08 / -2.50454e-08 |
 | Electron energy scale | -nan / -nan | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 | -2.71675e-08 / -2.07667e-08 |
 | AF2 Electron energy scale | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | BJES Response | -nan / -nan | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 | -2.65953e-08 / -2.29579e-08 |
 | JES EffectiveNP Detector1 | -nan / -nan | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 | -2.51552e-08 / -2.50324e-08 |
 | JES EffectiveNP Detector2 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JES EffectiveNP Mixed1 | -nan / -nan | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 | -2.51595e-08 / -2.5028e-08 |
 | JES EffectiveNP Mixed2 | -nan / -nan | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 | -2.52003e-08 / -2.49464e-08 |
 | JES EffectiveNP Mixed3 | -nan / -nan | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 | -2.51604e-08 / -2.50266e-08 |
 | JES EffectiveNP Modelling1 | -nan / -nan | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 | -2.6922e-08 / -2.21443e-08 |
 | JES EffectiveNP Modelling2 | -nan / -nan | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 | -2.50179e-08 / -2.51677e-08 |
 | JES EffectiveNP Modelling3 | -nan / -nan | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 | -2.51383e-08 / -2.50038e-08 |
 | JES EffectiveNP Modelling4 | -nan / -nan | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 |
 | JES EffectiveNP Stat1 | -nan / -nan | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 | -2.51603e-08 / -2.50268e-08 |
 | JES EffectiveNP Stat2 | -nan / -nan | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 | -2.50158e-08 / -2.51367e-08 |
 | JES EffectiveNP Stat3 | -nan / -nan | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 | -2.51367e-08 / -2.50055e-08 |
 | JES EffectiveNP Stat4 | -nan / -nan | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 | -2.50142e-08 / -2.51705e-08 |
 | JES EffectiveNP Stat5 | -nan / -nan | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 | -2.50134e-08 / -2.51294e-08 |
 | JES EffectiveNP Stat6 | -nan / -nan | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 | -2.51588e-08 / -2.50281e-08 |
 | JES EtaIntercalibration Modeling | -nan / -nan | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 | -2.5051e-08 / -2.50068e-08 |
 | JES EtaIntercalibration Nonclosure HighE | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JES EtaIntercalibration Nonclosure NegEta | -nan / -nan | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 | -2.5099e-08 / -2.50889e-08 |
 | JES EtaIntercalibration Nonclosure PosEta | -nan / -nan | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 | -2.50861e-08 / -2.51015e-08 |
 | JES EtaIntercalibration TotalStat | -nan / -nan | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 | -2.49718e-08 / -2.5169e-08 |
 | JES Flavor Composition | -nan / -nan | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 | -2.59586e-08 / -2.39103e-08 |
 | JES Flavor Response | -nan / -nan | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 | -2.44794e-08 / -2.56191e-08 |
 | JER DataVsMC AFII | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JER Effective NP1 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JER Effective NP2 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JER Effective NP3 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JER Effective NP4 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JER Effective NP5 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JER Effective NP6 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JER Effective NP7 RestTerm | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | JES Pileup OffsetMu | -nan / -nan | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 | -2.65088e-08 / -2.31563e-08 |
 | JES Pileup NPV | -nan / -nan | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 | -2.55117e-08 / -2.45757e-08 |
 | JES Pileup PtTerm | -nan / -nan | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 | -2.63268e-08 / -2.33878e-08 |
 | JES Pileup RhoTopology | -nan / -nan | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 | -2.73413e-08 / -2.10937e-08 |
 | JET PunchThrough AFII | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES Relative NonClosure | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JES SingleParticle HighPt | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | #it{t#bar{t}} cross-section | -nan / -nan | 0.0548491 / -0.0548784 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Scale #mu_{R},#mu_{F} ttbar | -nan / -nan | -1 / -1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 1 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 2 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 3 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 4 | -nan / -nan | -0.999921 / 0.966376 | -0.999921 / 0.966376 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 5 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 6 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 7 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 8 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 9 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | PDF no. 10 | -nan / -nan | -1 / 1 | -1 / 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
