 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Luminosity | -nan / -nan | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 | 0.0471284 / -0.04726 |
 | Electron trigger eff. | -nan / -nan | 0.00226291 / -0.00226291 | 0.00228923 / -0.00228928 | 0.00242417 / -0.00242426 | 0.00204097 / -0.00204101 | 0.00237505 / -0.00237512 | 0.00246083 / -0.00246084 | 0.00291012 / -0.00291025 | 0.00310601 / -0.00310608 | 0.00269956 / -0.00269963 |
 | Electron reconstruction eff. | -nan / -nan | 0.00128508 / -0.00128505 | 0.00127813 / -0.00127816 | 0.00134346 / -0.00134343 | 0.00125422 / -0.00125425 | 0.0014572 / -0.00145713 | 0.00133622 / -0.00133626 | 0.00135037 / -0.00135035 | 0.00140093 / -0.00140094 | 0.00140755 / -0.00140758 |
 | Electron identification eff. | -nan / -nan | 0.00946709 / -0.00946788 | 0.00937031 / -0.00937104 | 0.0107251 / -0.010726 | 0.00865468 / -0.00865531 | 0.0110507 / -0.0110518 | 0.0104505 / -0.0104515 | 0.00943069 / -0.00943149 | 0.0106569 / -0.0106579 | 0.011214 / -0.0112149 |
 | Electron isolation eff. | -nan / -nan | 0.00107531 / -0.00107537 | 0.00110703 / -0.00110699 | 0.00127436 / -0.00127434 | 0.00110143 / -0.00110145 | 0.00126319 / -0.00126323 | 0.00128123 / -0.00128127 | 0.00121609 / -0.00121607 | 0.00136233 / -0.00136235 | 0.0013282 / -0.00132823 |
 | #it{t#bar{t}} cross-section | -nan / -nan | 0.0879882 / -0.0889796 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{t#bar{t}+#gamma}) | -nan / -nan | 0 / 0 | 0.185304 / -0.172744 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0.0496232 / -0.0496414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{W+#gamma}) | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0971458 / -0.0971458 | 0 / 0 | 0 / 0 | 0 / 0 |
