 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SF(photon ID) | 0.00643315 / -0.00643313 | 0.00842528 / -0.00842527 | 0.00721867 / -0.00721865 | 0.00819061 / -0.0081906 | 0.00769244 / -0.00769243 | 0.00762353 / -0.00762351 | 0.0073585 / -0.00735849 | 0.00814887 / -0.00814885 | 0.00821844 / -0.00821843 | 0.00812757 / -0.00812755 |
 | SF(photon iso.) | -0.000725063 / -0.000725063 | -0.00113168 / -0.00113168 | -0.000835489 / -0.000835489 | -0.0010679 / -0.0010679 | -0.00148432 / -0.00148432 | -0.000949058 / -0.000949058 | -0.000896045 / -0.000896045 | -0.000591821 / -0.000591821 | -0.00130463 / -0.00130463 | -0.00209942 / -0.00209942 |
 | Pile-up | -0.00271398 / 0.00721724 | 0.00150917 / -0.00251417 | -0.00563454 / 0.00440059 | 0.0213214 / -0.0119547 | -0.0229722 / 0.0138212 | -0.018598 / 0.0082314 | 0.0111404 / -0.0178222 | 0.00597607 / -0.00140949 | -0.011496 / 0.00279616 | -0.0325044 / 0.0369562 |
 | JVT | 0.00920118 / -0.0107432 | 0.00910849 / -0.0105131 | 0.00972467 / -0.0100696 | 0.0102408 / -0.0104268 | 0.010095 / -0.0104476 | 0.00747738 / -0.00854205 | 0.0103915 / -0.0106967 | 0.00967694 / -0.00996204 | 0.00797322 / -0.0094859 | 0.00893931 / -0.00938361 |
 | EGamFake | 7.51759e-05 / -7.51759e-05 | 0.0337403 / -0.0337403 | 0.000538319 / -0.000538319 | 0.0432195 / -0.0432195 | 0.0144029 / -0.0144029 | 0.0251057 / -0.0251057 | 0 / 0 | 0.00130613 / -0.00130613 | 0.0697017 / -0.0697017 | 0.00102985 / -0.00102985 |
 | JGamFake | 0.00129484 / -0.00129484 | 0.228885 / -0.228885 | 0.00149839 / -0.00149839 | 0.16628 / -0.16628 | 0.0949803 / -0.0949803 | 0.124192 / -0.124192 | 0 / 0 | 0.309454 / -0.309454 | 0.102158 / -0.102158 | 0 / 0 |
 | #it{t#bar{t}} cross-section |    nan    | 0.056 / -0.056 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | VV cross-section |    nan    | 0 / 0 | 0 / 0 | 0.06 / -0.06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section |    nan    | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets cross-section |    nan    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
