 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Muon isolation eff. (syst) | -3.47506e-08 / -3.47506e-08 | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon TTVA (stat) | -3.47506e-08 / -3.47506e-08 | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon TTVA (syst) | -3.47506e-08 / -3.47506e-08 | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon trigger eff. (stat) | -3.47506e-08 / -3.47506e-08 | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | Muon trigger eff. (syst) | -3.47506e-08 / -3.47506e-08 | -3.7584e-08 / -3.7584e-08 | 5.34965e-08 / 5.34965e-08 | 2.94809e-08 / 2.94809e-08 | -3.11337e-08 / -3.11337e-08 | -3.24839e-08 / -3.24839e-08 | 6.01341e-09 / 6.01341e-09 | -1.43282e-08 / -1.43282e-08 | -2.35816e-09 / -2.35816e-09 | 2.87719e-08 / 2.87719e-08 |
 | SF(photon ID) | 0.00594937 / -0.00594936 | 0.00656317 / -0.00656316 | 0.00567375 / -0.00567374 | 0.00554026 / -0.00554023 | 0.00589732 / -0.00589732 | 0.00671366 / -0.00671363 | 0.0058688 / -0.00586879 | 0.00495111 / -0.00495109 | 0.00747338 / -0.0074734 | 0.00612443 / -0.00612443 |
 | SF(photon iso.) | 2.98087e-05 / 2.98087e-05 | -0.000959843 / -0.000959843 | 0.000141182 / 0.000141182 | -0.00183447 / -0.00183447 | -7.30026e-05 / -7.30026e-05 | -0.000962908 / -0.000962908 | -0.000599846 / -0.000599846 | 0.000421505 / 0.000421505 | -0.000779611 / -0.000779611 | 0.000856231 / 0.000856231 |
 | Pile-up | -0.0095984 / 0.00604749 | -0.000671302 / -0.024005 | -0.0137188 / 0.0128957 | 0.132849 / -0.0624906 | -0.036841 / 0.045675 | -0.0364604 / 0.0202551 | -0.0213188 / 0.044658 | -0.133067 / 0.131729 | 0.00720645 / 0.0188595 | -0.00101108 / 0.00359293 |
 | JVT | 0.00514796 / -0.00534907 | 0.00556214 / -0.00586909 | 0.00437011 / -0.00551275 | 0.00797219 / -0.00795746 | 0.00511949 / -0.00528876 | 0.00870962 / -0.00913066 | 0.00772252 / -0.00779185 | 0.00721727 / -0.00719435 | 0.00534319 / -0.00549224 | -0.0294709 / 0.0149431 |
 | EGamFake | 1.21503e-05 / -1.21504e-05 | 0.0588424 / -0.0588424 | 0.000656097 / -0.000656097 | 0.0129738 / -0.0129738 | 0.0665886 / -0.0665886 | 0.0507731 / -0.0507731 | 0 / 0 | 0 / 0 | 0.086776 / -0.086776 | 0 / 0 |
 | JGamFake | -0.00032197 / 0.00032197 | 0.130161 / -0.130161 | 0 / 0 | 0.319852 / -0.319852 | 0.0105108 / -0.0105108 | 0.0604243 / -0.0604243 | 0 / 0 | 0.356024 / -0.356024 | 0.0480722 / -0.0480722 | 0.0424434 / -0.0424434 |
 | #it{t#bar{t}} cross-section |    nan    | 0.056 / -0.056 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | VV cross-section |    nan    | 0 / 0 | 0 / 0 | 0.06 / -0.06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section |    nan    | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets cross-section |    nan    | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.05 / -0.05 | 0.05 / -0.05 | 0.05 / -0.05 |
