 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | Pile-up | -0.00690264 / -1.2933e-05 | -0.00122472 / 0.00304446 | -0.00528208 / 0.00443223 | -0.000479918 / 0.00199916 | -0.00557483 / 0.00188458 | -0.00164685 / 0.00165252 | -0.00732128 / 0.00389201 | 0.00633146 / 0.00352604 | 0.00603102 / -0.0108524 | -0.00472809 / 0.00985513 |
 | JVT | 0.00722791 / -0.00773712 | 0.00766336 / -0.00817382 | 0.0058485 / -0.00743613 | 0.00695845 / -0.00734498 | 0.010264 / -0.0102966 | 0.00712319 / -0.00770565 | 0.00700556 / -0.00731623 | 0.00774035 / -0.00806985 | 0.00882397 / -0.00857213 | 0.00521082 / -0.00543275 |
 | EGamFake | -1.16199e-05 / 1.16198e-05 | 0.0370316 / -0.0370842 | 0.000356994 / -0.000356999 | 0.0412805 / -0.0413458 | 0.0156192 / -0.0156286 | 0.0289217 / -0.0289537 | 2.32012e-05 / -2.32012e-05 | 0.000941014 / -0.000941049 | 0.0777554 / -0.0779877 | 0.00779322 / -0.00779555 |
 | JGamFake | 0.000206986 / -0.000207017 | 0.0772658 / -0.0817455 | 0.000968864 / -0.00096953 | 0.0656101 / -0.0688116 | 0.0531884 / -0.0552729 | 0.0446499 / -0.0461095 | 0.0001831 / -0.000183124 | 0.123392 / -0.13524 | 0.0238839 / -0.0242953 | 0.00179284 / -0.00179512 |
 | #it{t#bar{t}} cross-section | 0 / 0 | 0.0543599 / -0.0544467 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{t#bar{t}+#gamma}) | 0 / 0 | 0 / 0 | 0.1806 / -0.1806 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | VV cross-section | 0 / 0 | 0 / 0 | 0 / 0 | 0.0595868 / -0.0596107 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0496114 / -0.0496303 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{W+#gamma}) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.106163 / -0.106163 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets cross-section | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0486409 / -0.0487054 | 0.0486409 / -0.0487054 | 0.0486409 / -0.0487054 |
