 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | SF(photon iso.) | -nan / -nan | -0.000953457 / -0.000953457 | 0.000140242 / 0.000140242 | -0.00182227 / -0.00182227 | -7.25167e-05 / -7.25167e-05 | -0.000956501 / -0.000956501 | -0.000595854 / -0.000595854 | 0.000418699 / 0.000418699 | -0.000774423 / -0.000774423 | 0.000850529 / 0.000850529 |
 | Pile-up | -nan / -nan | -0.000553844 / -0.0208246 | -0.0119372 / 0.0112059 | 0.114485 / -0.0547525 | -0.0321181 / 0.0395727 | -0.0317558 / 0.0176419 | -0.0185884 / 0.0386456 | -0.116728 / 0.113652 | 0.00623187 / 0.0162945 | -0.000882214 / 0.00311491 |
 | JVT | -nan / -nan | 0.00551024 / -0.00581465 | 0.00432868 / -0.00546097 | 0.00789804 / -0.00788403 | 0.00507182 / -0.00523977 | 0.00862825 / -0.00904612 | 0.00765064 / -0.00771988 | 0.00715018 / -0.00712795 | 0.00529344 / -0.00544138 | -0.029213 / 0.0148151 |
 | EGamFake | -nan / -nan | 0.0564624 / -0.0565929 | 0.000630235 / -0.000630251 | 0.0124595 / -0.0124659 | 0.0638864 / -0.0640535 | 0.0487266 / -0.0488237 | 0 / 0 | 0 / 0 | 0.0832248 / -0.0835085 | 0 / 0 |
 | JGamFake | -nan / -nan | 0.0470413 / -0.0486754 | 0 / 0 | 0.113811 / -0.123885 | 0.00385166 / -0.00386227 | 0.0220066 / -0.0223576 | 0 / 0 | 0.126423 / -0.138981 | 0.0175337 / -0.0177558 | 0.0154912 / -0.0156644 |
 | #it{t#bar{t}} cross-section | -nan / -nan | 0.0543096 / -0.054399 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{t#bar{t}+#gamma}) | -nan / -nan | 0 / 0 | 0.180085 / -0.17807 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | VV cross-section | -nan / -nan | 0 / 0 | 0 / 0 | 0.0595869 / -0.0596108 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Single top cross-section | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0.0496054 / -0.0496245 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | #it{k}(#it{W+#gamma}) | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.105607 / -0.105607 | 0 / 0 | 0 / 0 | 0 / 0 |
 | V+jets cross-section | -nan / -nan | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0486142 / -0.0486799 | 0.0486142 / -0.0486799 | 0.0486142 / -0.0486799 |
